Gloss		Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guilin	Ha'erbin	Jinan	Jixi	Loudi	Meixian	Nanchang	Nanjing	Rongcheng	Suzhou	Taiyuan	Wenzhou	Xi'an	Xiamen
FALL_2										tiaʔ³²*							tiəʔ²			
FALL_3				lo²¹		lɔk²				noʔ³²*		lok⁵					laʔ²		luo²¹	lak³²*
FALL_4																dəʔ²³*				
FALL_5																		daŋ²²		
FALL_6											sua¹³									
FALL_7					tɔuŋ²⁴²															
FAR_1		yɛn²¹³	yẽ⁴¹	yan⁵³	huoŋ²⁴²	yn²³	yã²³	yan²¹³	yæ̃⁴⁵	yẽ²¹³	uĩ⁴²	ian³¹	yon²¹³	yen¹¹	yɐn²¹⁴	ɦiø²³¹	ye⁵³	ju²⁴	yæ̃⁵³	uan⁵³
FAT (ORGANIC SUBSTANCE)_1																tsɑ̃⁴¹²⁻⁴⁴ ȵioʔ²³*⁻²¹*				
FAT (ORGANIC SUBSTANCE)_2											ɣui¹³⁻³³ nio³⁵⁻⁵ tsz̩⁰									
FAT (ORGANIC SUBSTANCE)_3					ieu⁵³⁻⁵⁵ ʒie⁵⁵															
FAT (ORGANIC SUBSTANCE)_4		tʂʐ̩²¹³⁻²¹ fɑŋ³⁵	tsz̩³³ fan¹³					tʂʐ̩²¹³⁻²¹ faŋ²⁴	tʂʐ̩²¹⁴ fɑŋ⁴⁵	tsz̩²¹³⁻⁴⁴ xõ⁴⁴			tsz̩²¹³⁻²⁴ faŋ²¹	tʂʐ̩¹¹⁻²¹ fɑ̃¹³	tʂʐ̩²¹⁴⁻²¹ faŋ³⁵		tsz̩⁵³ fɒ̃⁰	tsz̩⁴⁴ huɔ⁴⁴	tsz̩²¹ fɑŋ²⁴	
FAT (ORGANIC SUBSTANCE)_5				iəu²¹			pã²³ iou²²			iɵ⁴⁴		iu¹¹	iu⁴⁵	iəɯ¹³			iəu²¹		iou²⁴	
FAT (ORGANIC SUBSTANCE)_6						kou⁵³														
FATHER_1																	lau⁵³ tsəʔ⁰			
FATHER_10							mã⁵⁵													
FATHER_11			tie³³ tie⁰								te⁴⁴ te⁰					tiɑ⁴⁴ tiɑ⁴⁴⁻²¹				
FATHER_12			ia¹³ ia⁰																	
FATHER_13		pᴀ⁵¹⁻⁵³ pᴀ⁰		pa²¹³⁻⁵⁵ pa²¹³⁻²¹						paʔ³²* paʔ⁰							pa⁴⁵ pa⁰			
FATHER_2					i⁵⁵ ie⁵³						iɔ¹³		ia⁴⁵			ɦiɑ¹³				
FATHER_3					i⁵⁵ pa⁵⁵			pa⁵³				a³³ pa³³						a⁴¹⁻² pa⁴⁴	pɑ⁴⁴	lau²²⁻²¹ pe²²
FATHER_4			ia¹³ lau⁴¹ kõ³³								iɔ¹³ lɤ⁴² kuẽ⁰									
FATHER_5		fu⁵¹				fu²³							fu²¹				fu⁴⁵		fu⁴⁴	
FATHER_6					i⁵⁵ tie⁵⁵			tiɛ⁴⁴						tie³¹	tiɛ⁵²					
FATHER_7									fu³¹⁻⁴⁴ tɕʰiẽ⁰	fu³¹⁻⁵³ tɕʰiɑ̃⁵⁵				fu⁴⁴ tɕʰin⁴⁴			fu⁴⁵ tɕʰiŋ²¹		fu⁴⁴ tɕʰiŋ	
FATHER_8																			tɑ²⁴	
FATHER_9					louŋ⁵³⁻²¹ ma²⁴²															
FEAR (BE AFRAID)_1		pʰᴀ⁵¹	pʰa⁵⁵	pʰa²¹³		pʰa³³	pʰᴀ²⁵	pʰa⁵³	pʰa³¹	pʰo³⁵	pʰɔ³⁵	pʰa⁵³	pʰa²¹³	pʰɑ⁴⁴	pʰa³³⁴	pʰo⁴¹²	pʰa⁴⁵		pʰɑ⁴⁴	
FEAR (BE AFRAID)_2				tsʰa²¹³																
FEAR (BE AFRAID)_3																		ho⁴¹		
FEAR (BE AFRAID)_4												vi⁵³								
FEAR (BE AFRAID)_5					kiaŋ⁵⁵							kiaŋ⁴⁴								kiã⁵⁵
FEATHER_1		y²¹³⁻²¹ mɑu³⁵	y⁴¹ mau¹³	y⁵³⁻⁴⁵ mau²¹	y³² mau⁵³	y²³ mou²¹	mɑu²²	y²¹³⁻²¹ maur²⁴	y⁴⁵ mɔ⁵³,mɔ⁵³	y²¹³⁻³¹ mɤ⁴⁴,mɤ⁴⁴	y⁴² mɤ¹³⁻³³	i³³ mau³³	y²¹³ mau⁴⁵	i¹¹⁻²¹ mɔ¹³	y²¹³ mɔ⁵²	y⁴⁴ mæ¹³⁻²¹,mæ¹³	y⁵³ mau²¹	vu²⁴⁻³³ mə³⁴¹⁻²²,mə³⁴¹	mɑu²⁴	sit⁵⁻³²* mŋ̍²⁴
FEATHER_2					mau⁵³⁻³³ mau⁵³															
FEW_1		ʂɑu⁵¹	sau⁴¹	sau⁵³	tsieu³²	siu³⁵	sɑu²³	ʂau²¹³	ʂɔ⁴⁵	ɕie²¹³	ɕiɤ⁴²	sau³¹	sɛu²¹³	sɔ¹¹	ʂau³³⁴	sæ⁵²	sau⁵³	ɕiɛ²⁴²	ʂɑu⁵³	tsio⁵³
FEW_2				kua⁵³																
FIGHT_1																tã⁵² siã⁴⁴⁻³¹ tã⁵²⁻³¹		tøy²⁴²⁻⁵³ tiɛ²⁴²⁻²²		
FIGHT_2																		tiə²⁴²⁻²⁴ tsʰz̩⁰		
FIGHT_3					souŋ⁵⁵⁻⁵³ pʰaʔ²¹*															sio⁵⁵⁻²² pʰaʔ³²*
FIGHT_4		tɑ²¹⁴⁻²¹ tɕiɑ⁵¹	ta⁴¹⁻⁴⁴ tɕia⁵⁵	ta⁵³⁻⁵⁵ tɕia²¹³		ta³⁵ kau⁵⁵	tɑ²³ kɑ²⁵	ta²¹³⁻²¹ tɕia⁵³	ta⁴⁵ tɕia²¹	tɔ²¹³⁻³¹ ko³⁵	ta⁴² tɕiɔ³⁵		ta²¹³ ka⁴⁵	tɑ¹¹⁻²² tɕiɑ⁴⁴⁻²²			ta⁵³ tɕia⁴⁵			
FIGHT_5								ta²¹³⁻²¹ tʂaŋ⁵³,kan⁵³ tʂaŋ⁵³							ta²¹⁴⁻² tʂaŋ³³⁴					
FIGHT_6																			tɑ⁵³ pfʰei²⁴	
FIGHT_7				ta⁵³⁻⁵⁵ tsʰuei²¹																
FIGHT_8				ko²¹⁻⁵⁵ ȵie²¹																
FIGHT_9												ta³¹ kau³³⁻⁵³ e⁰								
FIRE_1		xuo²¹⁴	xo⁴¹	xo⁵³	huoi³²	fɔ³⁵	xuo²³	xuo²¹³	xuɤ⁴⁵	xɵ²¹³	xo⁴²	fo³¹	fo²¹³	xo¹¹	xuɔ²¹⁴	həu⁵²	xuɤ⁵³	fu²⁴²	xuo⁵³	he⁵³
FISH_1		y³⁵	y¹³	y²¹	ŋy⁵³	y²¹		y²⁴	y⁵³	ȵy⁴⁴	y¹³	n̩¹¹	ȵie⁴⁵	yi¹³	y⁵²	ŋ̍¹³	y²¹	ŋøy³⁴¹	y²⁴	hi²⁴
FISH_2							ŋ̍t²³ sz̩⁰ te³³													
FIVE_1		u²¹³	u⁴¹	u⁵³	ŋou²⁴²	ŋ̍²³	ŋ̍²³	u²¹³	u⁴⁵	vu²¹³	u⁴²	n̩³¹	ŋ̍²¹³	u¹¹	u²¹⁴	ŋ̍²³¹	u⁵³	ŋ̍²⁴	u⁵³	ɡɔ²²
FLESH_1		ʐou⁵¹	ʐəu²⁴	zəu²¹³	nyʔ⁵	ik²	iou⁵⁵	ʐou⁵³	ʐou³¹	ȵyoʔ³²*	nio³⁵	ŋiuk¹	ȵiuʔ⁵	ʐəɯ⁴⁴	iou³³⁴	ȵioʔ²³*	zəu⁴⁵	ȵieu²¹	ʐou⁴⁴	
FLESH_2																				baʔ³²*
FLOAT_1				pʰiau⁴⁵							bɤ¹³		pʰiɛu⁴²	piɔ³¹			pʰiɑu²¹		pʰiau²¹	
FLOAT_2		pʰiɑu⁵⁵ fu³⁵	pʰiau³³ fu⁰			pʰiu⁵³ fɐu²¹		pʰiau⁴⁴ fu²⁴	pʰiɔ²¹⁴ fu⁵³	fu⁴⁴,pʰie⁵⁵ fu⁴⁴		feu¹¹	fəu⁴⁵,pʰiɛu⁴² fɛu⁴⁵	pʰiɔ³¹ fu¹³,fu¹³	pʰiau⁵² fu³⁵			və³⁴¹	fu²⁴	pʰu²⁴
FLOAT_3																tʰən⁵²		taŋ⁵¹		
FLOAT_4							fu²² tɑu²³⁻³³													
FLOAT_5					pʰieu⁵⁵ lɛ³²,pʰu⁵³ lɛ³²															
FLOWER_1		xuɐr⁵⁵	fa³³	xua⁴⁵	hua⁵⁵	fa⁵⁵	fᴀ⁴²	xuar⁴⁴	xuar²¹⁴		xɔ⁴⁴		fa⁴⁵	xuɑ³¹	xuar⁵²	ho⁴⁴	xua²¹	ho⁴⁴	xuɑr²¹	hue⁵⁵
FLOWER_2																				hue⁵⁵⁻²² ia⁵³
FLOWER_3										xo⁵⁵ n̩⁰										
FLOWER_4												fa³³⁻³⁵ ve⁰								
FLOWING BODY OF WATER_1		xɤ³⁵	xo¹³	xo²¹	o⁵³	hɔ²¹	xuo²²	xɤ²⁴	xɤ⁵³	xɵ⁴⁴	ɣo¹³	ho¹¹	ho²⁴	xo¹³	xuɔ³⁵	ɦəu¹³	xɤ²¹	vu³⁴¹	xuo²⁴	kʰue⁵⁵
FLOW_1		liou³⁵	liəu¹³	liəu²¹	lau⁵³	lɐu²¹	liou²²	liou²⁴	liou⁵³	ni⁴⁴	lio¹³	liu¹¹	liu⁴⁵	ȵiəɯ¹³	liou³⁵		liəu²¹	lɤu³⁴¹	liou²⁴	lau²⁴
FLOW_2														tʰɑ̃¹¹		tʰɑ̃⁵²				
FLY (MOVE THROUGH AIR)_1		fei⁵⁵	fei³³	fei⁴⁵	puoi⁵⁵	fei⁵³	fei⁴²	fei⁴⁴	fei²¹⁴	fi⁵⁵	xui⁴⁴	fi³³	fɨi⁴²	fei³¹	fe⁵²	fi⁴⁴	fei²¹	fei⁴⁴	fei²¹	pe⁵⁵
FOG_1			tsau⁵⁵ tsz̩⁰																	
FOG_2		u⁵¹		u²¹³	muo⁵³	mou²²		u⁵³	u³¹	vu³¹	u¹¹		u²¹	u⁴⁴	u³³⁴		u⁴⁵		vu⁴⁴	bu²²
FOG_3																mi¹³⁻²² ləu²³¹				
FOG_4																		mø²²		
FOG_5												muŋ¹¹ sa³³								
FOG_6							u²¹ tɕʰi⁴²⁻²²													
FOOT_1								tɕiau²¹³⁻²¹ ia⁴⁴ tsz̩⁰												
FOOT_2		tɕiɑu²¹⁴	tɕio²⁴			kœk³		tɕiau²¹³	tɕyɤ²¹⁴	tɕyoʔ³²*	dio¹³	kiok¹	tɕioʔ⁵	tɕioʔ⁵	cyɔ²¹⁴	tɕiɑʔ⁴	tɕiau⁵³	tɕia⁴¹	tɕyo²¹	
FOOT_3					kʰa⁵⁵															kʰa⁵⁵
FOOT_4				tɕyo²¹⁻⁵⁵ pər⁵³																
FOOT_5							ɕy⁵⁵ te²²													
FOREST_1		sən⁵⁵ lin³⁵	sən³³ lin¹³	sən⁴⁵ ȵin²¹	tsʰieu²¹²⁻⁵⁵ liŋ⁵³	sɐm⁵³ lɐm²¹	ɕy²¹ liŋ²²	sən⁴⁴ lin²⁴		sɑ̃⁴⁴ niɑ̃⁴⁴,ɕy³¹⁻⁵³ niɑ̃⁴⁴	sẽ⁴⁴ lin¹³⁻³³	sem³³⁻³⁵ lim¹¹	sɛn⁴² lin⁴⁵,su²¹ lin⁴⁵	su⁴⁴⁻⁴² lin¹³,sən³¹ nin¹³		zʯ²³¹⁻²² lin¹³⁻⁴⁴	səŋ²¹ liŋ²¹	saŋ⁴⁴⁻³² leŋ³⁴¹⁻²¹,zz̩²²⁻⁴² leŋ³⁴¹⁻²¹	sẽ²¹ liẽ²⁴	tsʰiu²²⁻²¹ lim²⁴
FOREST_2									ʂu²¹³ liẽ⁵³ tsz̩⁰						lin³⁵ sz̩⁰					
FOUR_1		sz̩⁵¹	sz̩⁵⁵	sz̩²¹³	sɛi²¹²	sei³³	sz̩²⁵	sz̩⁵³	sz̩³¹	sz̩³⁵	sz̩³⁵	si⁵³	sz̩⁴⁵	sz̩⁴⁴	sz̩³³⁴	sz̩⁴¹²	sz̩⁴⁵	sz̩⁵¹	sz̩⁴⁴	si²¹
FREEZE_1			ɕia¹¹ lin¹³																	
FREEZE_2											tɕʰiɔ⁴² kɤ³⁵									
FREEZE_3		tɕiɛ³⁵ piŋ⁵⁵	tɕie²⁴ pin³³	tɕie²¹⁻⁵⁵ pin⁴⁵	kieʔ⁵⁻²¹ piŋ⁵⁵	kit³ eŋ⁵⁵	tɕie⁵⁵⁻²¹ pi⁴²	tuŋ⁵³ piŋ⁴⁴	tɕiə²¹⁴⁻²³ piŋ²¹⁴	tɕiaʔ³²* piɑ̃⁵⁵		ket¹ pen³³	tɕiɛt⁵ pin⁴²	tɕieʔ⁵ pin³¹	ciɛ²¹⁴⁻²¹ piŋ⁵²	tɕiəʔ⁴ pin⁴⁴	tɕiəʔ²⁻⁵⁴ piŋ²¹	tɕi⁴¹⁻² peŋ⁴⁴	tɕiɛ²¹⁻²⁴ piŋ²¹	kiat³²*⁻⁵ piŋ⁵⁵
FREEZE_4			kəu⁵⁵⁻⁴¹ lin¹³																	
FRUIT_1		ʂuei²¹⁴⁻³⁵ kuo²¹³	ɕyei⁴¹ ko⁴¹	suei⁵³⁻⁵⁵ ko⁵³		søy³⁵ kyɔ³⁵	suei²³ kuo²³⁻²²	ʂuei²¹³⁻²⁴ kuor²¹³	ʂuei⁴⁵⁻⁵³ kuɤ⁴⁵	ɕy²¹³⁻³¹ kɵ²¹³		sui³¹⁻³³ kuo³¹	sui²¹³⁻⁴⁴ kuo²¹³	suei¹¹⁻¹² ko¹¹		sʯ⁵²⁻⁴¹ kəu⁵²⁻²³	suei⁵³⁻²¹ kuo⁵³	sz̩²⁴⁻⁵³ ku²⁴²⁻²³	fei⁵³ kuo⁰	tsui⁵³⁻⁵⁵ ko⁵³
FRUIT_2					kuo³²⁻³⁵ ʒi³²						ko⁴² tsz̩⁰									
FRUIT_3															kɔr²¹³ mən⁰					
FULL_1					ko²¹²⁻⁵⁵ louŋ⁵³															
FULL_2		man²¹⁴	mõ⁴¹	man⁵³	muaŋ³²	mun²³	mã²³	man²¹³	mæ̃⁴⁵	mɑ̃²¹³	mẽ⁴²	man³³	mon²¹³	mɑ̃¹¹	mɐn²¹⁴	mø²³¹	mæ̃⁵³	mø²⁴²	mæ̃⁵³	muã⁵³
FULL_3				pau²¹³																
GIVE_1			pa⁴¹										pa²¹³							
GIVE_10										xɑ̃³⁵										
GIVE_2		kei²¹⁴		ke⁴⁵		kʰɐp⁵		kei²¹³	tɕi⁵³			kip¹	kei²¹³	tɕi¹¹	kei²¹⁴		kei⁵³		kei⁵³	
GIVE_3																pəʔ⁴				
GIVE_4																		ha⁵¹		
GIVE_5											nɔ⁴⁴ sz̩³⁵⁻⁵									
GIVE_6					kʰøyʔ²⁴*															
GIVE_7					kɔyŋ⁵⁵															
GIVE_8																				ho²²
GIVE_9							tiᴀ⁵⁵													
GOOD_1		xɑu²¹⁴	xau⁴¹	xau⁵³	ho³²	hou³⁵	xɑu²³	xau²¹³	xɔ⁴⁵	xɤ²¹³	xɤ³⁵	hau³¹	hau²¹³	xɔ¹¹		hæ⁵²	xau⁵³	hə²⁴	xɑu⁵³	ho⁵³
GOOD_2								tai⁵³ tɕiŋ⁵³												
GOOD_3								pu⁵³⁻²⁴ lai⁵³												
GOOD_4															pu²¹⁴⁻² tsʰau³³⁴⁻³²					
GRASS_1		tsʰau²¹⁴	tsʰau⁴¹	tsʰau⁵³	tsʰau³²	tsʰou³⁵	tsʰɑu²³	tsʰau²¹³	tsʰɔ⁴⁵	tsʰɤ²¹³	tsʰɤ⁴²	tsʰau³¹	tsʰau²¹³	tsʰɔ¹¹	tsʰau²¹⁴	tsʰæ⁵²	tsʰau⁵³	tsʰə²⁴²	tsʰɑu⁵³	tsʰau⁵³
GREEN_1		ly⁵¹	ləu²⁴	nu²¹	luoʔ⁵	lok²	liou⁵⁵	ly⁵³	ly³¹	nɤʔ²³*	lɤu³⁵	liuk⁵	liuʔ⁵	luʔ⁵	ly²¹⁴	loʔ²³*	ly⁴⁵	lo²¹	liou²¹	lik⁵
GUTS_1		tʂʰɑŋ³⁵ tsz̩⁰	tsan¹³ tsz̩⁰	tsʰaŋ²¹⁻⁵⁵ tsz̩⁵³			tsɑŋ²² tse²³⁻³³	tʂʰaŋ²⁴ tsz̩⁰	tʂʰɑŋ⁵³⁻⁴⁵ tsz̩⁰				tsʰɔŋ²⁴ tsz̩⁰	tsʰɑ̃¹³⁻¹¹ tsz̩⁰	tʂaŋ³⁵ tsz̩⁰		tsʰɒ̃²¹ tsəʔ⁰		tʂʰɑŋ²⁴ tsz̩⁰	
GUTS_2					tuoŋ⁵³	tsʰœŋ²¹				tɕʰiõ⁵⁵	tʰɔŋ¹³								tʂʰɑŋ²⁴	
GUTS_3												tsʰoŋ¹¹ ŋe⁰								
GUTS_4																				tŋ̍²⁴⁻²² ŋa⁵³
GUTS_5																		døy²⁴⁻⁴² dʑi³⁴¹⁻²¹		
GUTS_6																dəu²³¹⁻²² ã¹³⁻³¹				
HAIR (HEAD)_1		tʰou³⁵ fᴀ⁵¹	təu¹³ fa²⁴	tʰəu²¹⁻⁵⁵ fa²¹⁻⁵⁵	tʰau⁵³⁻²¹ uoʔ²⁴*	tʰɐu²¹ fat³		tʰour²⁴ fa⁰	tʰou⁵³⁻⁴⁵ fa⁰	tʰi⁴⁴⁻³⁵ faʔ³²*	diɤ¹³ xɔ⁰	tʰeu¹¹ na¹¹ mau³³	tʰɛu²⁴ fat⁰	tʰəɯ¹³⁻²¹ fɑʔ⁵	tou³⁵ fa⁰	dʏ¹³⁻²² faʔ⁴	tʰəu²¹ faʔ²	dɤu³⁴¹⁻²⁴ ho⁴¹	tʰou²⁴ fɑ⁰	
HAIR (HEAD)_2							tai²² mau²²			tʰi⁴⁴ mɤ⁴⁴										tʰau²⁴⁻²² mŋ̍²⁴
HAND_1		ʂou²¹³	səu⁴¹	səu⁵³	tsʰieu³²	sɐu³⁵	sou²³	ʂou²¹³	ʂou⁴⁵	si²¹³	ɕio⁴²	su³¹	ɕiu²¹³	səɯ¹¹	ʂou²¹⁴	sʏ⁵²	səu⁵³	ɕieu²⁴	ʂou⁵³	tsʰiu⁵³
HAND_2			səu⁴¹⁻⁴⁴ pa⁵⁵ tsz̩⁰																	
HEAD_1																	təʔ²⁻⁴⁵ lau⁵³			
HEAD_2			lau⁴¹ kʰo⁰																	tʰau²⁴⁻²² kʰak³²*
HEAD_3												tʰeu¹¹ na¹¹								
HEAD_4																			sɑ²⁴	
HEAD_5		tʰou³⁵	təu¹³	tʰəu²¹	tʰau⁵³	tʰɐu²¹	tai²²	tʰour²⁴	tʰou⁵³	tʰi⁴⁴	diɤ¹³		tʰɛu²⁴	tʰəɯ¹³	tou³⁵	dʏ¹³	tʰəu²¹	dɤu³⁴¹	tʰou²⁴	
HEART_1		ɕin⁵⁵	ɕin³³	ɕin⁴⁵,ɕin⁴⁵	siŋ⁵⁵	sɐm⁵⁵	ɕiŋ⁴²	ɕin⁴⁴	ɕiẽ²¹⁴	ɕiɑ̃⁵⁵	ɕin⁴⁴,ɣuẽ¹³ ɕin⁴⁴⁻³³	sim³³	ɕin⁴²	ɕin³¹	sin⁵²	sin⁴⁴	ɕin²¹	saŋ⁴⁴	ɕiẽ²¹	sim⁵⁵
HEART_2		ɕin⁵⁵ tsɑŋ⁵¹	ɕin³³ tsan¹¹		siŋ⁵⁵⁻⁵³ ŋouŋ²⁴²	sɐm⁵³ tsɔŋ²²	ɕiŋ⁴² tsɑŋ²¹⁻³³	ɕin⁴⁴ tsaŋ⁵³	ɕiẽ²¹³ tsɑŋ²¹	ɕiɑ̃⁵⁵⁻⁴⁵ tsʰɔ³¹		sim³³ tsʰoŋ⁵³	ɕin⁴² tsɔŋ⁴²	ɕin³¹ tsɑ̃⁴⁴	sin⁵² tsaŋ³³⁴	sin⁴⁴ zɑ̃⁴⁴	ɕin²¹ tsɒ̃⁴⁵	saŋ⁴⁴ zuɔ²²⁻²⁴	ɕiẽ²¹ tsɑŋ⁴⁴	sim⁵⁵⁻²² tsɔŋ²²
HEAR_1												tʰaŋ³³								
HEAR_2		tʰiŋ⁵⁵ tɕiɛn⁵¹	tʰin³³ tɕiẽ⁵⁵		tʰiaŋ⁵⁵⁻⁵³ ŋieŋ²¹²	tʰɛŋ⁵³ kin³³	tʰei⁴²⁻²⁴ tɕiã²⁵⁻³³	tʰiŋ⁴⁴ tɕian⁵³	tʰiŋ²¹³⁻²¹ tɕiæ̃⁰	tʰiɑ̃³⁵⁻⁵³ tɕiẽ³⁵	tʰiɔ̃⁴⁴ tɕiæ³⁵⁻⁵		tʰiaŋ⁴² tɕiɛn⁴⁵	tʰin⁴⁴⁻⁴² tɕien⁴⁴⁻²²	tʰiŋ⁵² ciɐn³³⁴	tʰin⁴⁴ tɕiɪ⁴¹²⁻²¹	tʰiŋ²¹ tɕie⁴⁵		tʰiŋ²¹ tɕiæ̃⁰	
HEAR_3				tʰin⁴⁵ tau⁵³																
HEAR_4																		tʰeŋ dʑia²¹⁻⁴⁴		tʰiã⁵⁵ tio⁰
HEAVY_1		tʂuŋ⁵¹	tsən¹¹	tsoŋ²¹³	tɔyŋ²⁴²	tsoŋ²²	tsuɤŋ²³	tsuŋ⁵³	tʂuŋ³¹	tsʰɑ̃²¹³	dɤn¹¹	tsʰuŋ⁵³	tsʰuŋ²¹	tsoŋ⁴⁴	tʂoŋ³³⁴	zoŋ²³¹	tsuŋ⁴⁵	dʑyɔ²⁴	pfəŋ⁴⁴	taŋ²²
HERE_1						li⁵³ tou³³														
HERE_10												e³¹⁻³³ ie⁰								
HERE_2				tsər²¹³				tʂɤr⁵³											tʂɤr⁵³	
HERE_3								tʂɤ⁵³ kar⁴⁴												
HERE_4				tse²¹³ kə⁵⁵ ti²¹³ fa			i²⁵ kuo⁵⁵ ti²¹ fɑŋ²²													
HERE_5														tʂe⁴⁴ kʰuɛ⁴⁴						
HERE_6										n̩²¹³⁻³³ taʔ³²*						kᴇ⁴⁴ taʔ⁰				
HERE_7																				tsit³²*⁻⁵ te²¹
HERE_8		tʂɤ⁵¹⁻⁵³ li²¹³	ko²⁴ li⁰		tsi³²⁻³⁵ lie³²			tʂɤ⁵³ li⁰	tʂɤ³¹⁻⁴¹ li⁰				ko²¹³ li⁰		tʃɛ³³⁴⁻³ li²¹⁴		tsəʔ²⁻⁴⁵ li⁵³	ki⁴¹⁻² lei⁴⁴		
HERE_9											tsz̩³⁵ ta³⁵⁻⁵ li⁰ ɣɔ¹									
HE_1					i⁵⁵ nøyŋ⁵³															
HE_2		tʰᴀ⁵⁵	tʰa³³	tʰa⁴⁵			tʰᴀ⁴²	tʰa⁴⁴	tʰa⁴⁵		tʰɔ⁴⁴			tʰɑ³¹	tʰa⁵²		tʰa²¹		tʰɑ²¹	
HE_3										ki⁴⁴			tɕie²⁴					ɡei³⁴¹		
HE_4																li⁴⁴				
HE_5						kʰøy²³						ki¹¹								
HE_6					i⁵⁵															i⁵⁵
HOLD OR TAKE_1				tai²¹																
HOLD OR TAKE_10																		to²⁴²		
HOLD OR TAKE_2		nᴀ³⁵	la¹³					na²⁴	na⁵³		nɔ⁴⁴	na³³	la⁴⁵	lɑ¹³	na⁵²	no¹³	na²¹		nɑ²⁴	
HOLD OR TAKE_3							kei²²													
HOLD OR TAKE_4										tɔ⁵⁵										
HOLD OR TAKE_5													laʔ⁵							
HOLD OR TAKE_6						lɔ³⁵														
HOLD OR TAKE_7					nieŋ⁵⁵															
HOLD OR TAKE_8					to⁵³															
HOLD OR TAKE_9																				tʰeʔ⁵
HORN (ANATOMY)_1		tɕiɑur²¹⁴	tɕio²⁴			kɔk³	kɑu⁵⁵	tɕiaur²¹³	tɕyɤr²¹⁴	koʔ³²*	ko¹³		kɔʔ⁵	koʔ⁵	cyɔr²¹⁴	koʔ⁴	tɕyəʔ²	ko⁴¹	tɕyor²¹	kak³²*
HORN (ANATOMY)_2				tɕyo²¹⁻⁵⁵ tɕyo²¹	køyʔ²⁴*⁻²¹* koyʔ²⁴*															
HORN (ANATOMY)_3										tɕyoʔ³²* n̩⁰										
HORN (ANATOMY)_4												kok¹ ve⁰								
HOT_1		ʐɤ⁵¹	ye²⁴	ze²¹	ieʔ⁵	it²	lie⁵⁵	ʐy⁵³	ʐy³¹	ȵiaʔ³²*	ie¹³	sau³³	lɛt⁵	ʐeʔ⁵	iɛ²¹⁴	ȵiɛʔ²³*	zəʔ²	ȵi²¹	ʐɤ²¹	liat⁵
HOW_1			o¹³ sz̩⁰																	
HOW_10																nəʔ²³* hã⁴⁴⁻³¹				
HOW_11												ŋioŋ⁵³ pan³³								
HOW_12					tsuoŋ⁵⁵⁻²¹ ŋi⁵³															
HOW_13				laŋ⁴⁵ ko²¹³⁻²¹,tsa²¹⁻⁵⁵ ko²¹³⁻²¹							mɔ¹³ kɔ⁰									
HOW_2							y²² xuo²²													
HOW_3																	tsaʔ² ti⁴⁵			
HOW_4																		tsz̩²⁴²⁻⁴⁴ na²⁴⁻⁴¹		
HOW_5								tsa²¹³⁻²¹ t⁰												
HOW_6								tsa²¹³												
HOW_7		tsən²¹³⁻²¹ mə⁰	tsən⁴¹ mo²⁴					tsən²¹³⁻²¹ mɤ⁰	tsẽ⁴⁵⁻²¹³ mə⁰						tsən²¹³ mə⁰					
HOW_8					tsuoŋ⁵⁵⁻⁵³ ŋyoŋ²⁴²	tim³⁵ iœŋ³⁵							tsən⁴⁵ iɔŋ⁴²	tsən¹¹⁻²¹ iɑ̃⁴⁴					tsɑ⁵³ iɑŋ⁴⁴	tsãi⁵³ iũ²²
HOW_9										tsʰa²¹³⁻²¹ tɕʰie³⁵										
HUNT_1											kuã⁴² sã⁴⁴									
HUNT_2		tᴀ²¹³⁻²¹ liɛ⁵¹	ta⁴¹ liẽ²⁴	ta⁵³⁻⁵⁵ lie²¹	ta³²⁻²¹ laʔ⁵	ta³⁵ lip²	tɑ²³ lie²³	ta²¹³⁻²¹ liɛ⁵³	ta⁴⁵ liə²¹	tɔ²¹³⁻³¹ ȵiaʔ³²*		ta³¹ liap⁵	ta²¹³ liɛt⁵	tɑ¹¹ lieʔ⁵	ta²¹⁴⁻² liɛ³³⁴	tã⁵²⁻⁴¹ laʔ²³*	ta⁵³ liəʔ²	tiɛ²⁴²⁻³ liɛ²¹	tɑ⁵³ liɛ²¹	pʰaʔ³²*⁻⁵³* laʔ³²*
HUSBAND_1			lau⁴¹ kõ³³ tsz̩⁰																	
HUSBAND_10										nɤ²¹³⁻³¹ kuɔ⁵⁵										
HUSBAND_11						sin⁵⁵ saŋ⁵³														
HUSBAND_12															xɐn³³⁴ tsi⁰		xæ̃⁴⁵ tsəʔ⁰			
HUSBAND_13		lɑu²¹³⁻²¹ kuŋ⁵⁵			la²⁴²⁻⁵⁵ uŋ⁵⁵	ou²³ koŋ⁵³	lɑu²³ kɤn⁴²⁻²²					lau³¹ kuŋ³³	lau²¹³ kuŋ⁰					lə²⁴⁻⁴² koŋ⁴⁴⁻²¹		
HUSBAND_2								lau²¹³⁻²¹ iɛ²⁴ mər⁰												
HUSBAND_3		ai⁵¹⁻⁵³ ʐən³⁵								nɔ⁴⁴ iɑ̃⁴⁴	nã¹³ nin¹³⁻³³					nø¹³⁻²² ȵin¹³⁻³¹			næ̃²⁴ ʐẽ⁰,uɛ⁴⁴ tʰou⁰ ʐẽ⁰	ta²²⁻²¹ pɔ⁵⁵⁻²² laŋ²⁴
