Gloss	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
TURN_1	puri			fuli		tafuri	huli		huli		huri		fuli		tahuri	huri	wuli	huri			takahuɡi		tahuli				huri		tahuli	fulihi
TURN_2		taaviɢi					wili							kaviʔi					taviri									takapili		
TURN_3			tiipuʔu																					tiipuʔu						
TURN_4					fariu							firiu										faaliu				liliu				
TURN_5								maɡau																						
TURN_6									hakiʔe											ʔikiʔiki										
TURN_7										tiirori																				
TURN_8																	uwe	ue												
TURN_9																	pale	pale		paʔe					pare					
TURN_10																	tipa													
TURN_11																	niniwi	fakaninihi												
TURN_12																			teka											
TURN_13																										taaafeafe				
TWENTY_1		pitiʔahuɢu	pitiʔaʔuru																					pitiʔahuru						
TWENTY_2				kaulua													laulua													
TWENTY_3							iwakaalua																							
TWENTY_4										takau	ruatekau		tekau	tekau										taʔau		tekau		tekau		
TWENTY_5															tipurua		tinolua													
TWENTY_6																	luaŋaulu			ruaŋauru		luasefulu								
TWENTY_7																													ɡatoaelua	
TWO_1	rua		rua	lua	rua	rua	lua	lua	lua	rua	rua	rua	ua	ʔua		rua	lua	lua	rua	rua	ɡua	elua	lua		rua	ua	rua		lua	lua
TWO_2		piti	piti																					piti						
TWO_3															hiaoa													aoa		
VOMIT_1	rua		ruʔaʔi	lua~lua	rua	lua	luaʔi	luai~rua	lua	ruaki	ruaki	rua	lua	ʔua	rua	rua	luaki~lua	ruaki	rua		ɡua	luaʔi	lua		rua	lua	ruua	lua	lua	lua
VOMIT_2		pihaʔe																						pihaʔe						
VOMIT_3													puhaki							puaki		puaʔi								puʔaki
WALK_1	aere	haeɢe		saʔele	saere		hele	haele	haele	ʔere			haele	heʔe	haare	saere		haere	haere	ʔaere	saʔeɡe	saele	saele	haere	saere		haere	haele		
WALK_2			ʔanorimoʔaere																											
WALK_3			rimorimo																					ori						
WALK_4			ʔano	ano																										
WALK_5								heeheeːhe																						
WALK_6								taahao																	tahao					
WALK_7											haereawaewae																			
WALK_8												saria																		
WALK_9																	jaaeleaːelele													
WALK_10																										ʔalu				
WALK_11																													kau	
WALK_12																														haaere
WARM_1	mapanapana		maaʔanaʔana	maafana	mafanafana	mafana	hahana	mahana	mahaŋa	maʔana	mahana		mafana	haʔamaahanahana	mahana	mahana	maajana	mahana	mahana~hana	maʔana	mahana		maahana	maahanahana	mafana	mafana	mahana	mafana	mahana	mafana
WARM_2		veʔaveʔa	veravera																									mavelavela		
WARM_3							wela					wera					vela					vela								
WATER_1	vai		vai	vai	βai	vai	wai	wai	vai	vai	wai	wai	vai	vai	vai	vai		vai	vai	vai	bai	vai	vai		vai	vai	vai	vai	vai	vai
WATER_2		papemaaʔaɢo																						pape						
WATER_3																	jua													
WE_1	tou	maatou~taatou	maatou~taatou	tou	matou~tatou		maakou~kaakou		maakou~kaakou		maatou~taatou	matou~tatou	mautolu~tautolu	matou~tatou	maatou~taatou		maatou~taatou	taatou~maatou	tatou~matou	taatou~maatou		maatou~taatou	maatou~taatou	maatou~taatou	tou	kimautolu~kitautolu	tatou		tʰatou~mhatou	tou
WE_2		maaua	maaua	maa	maua	kimaua	maaua		maaua		maaua	maua	maua	maua			amaaua				kimaa		maaua	maaua					mhaua	maa
WE_3		taaua	taaua		taua		kaaua		kaaua	taaua	taaua	taua	taua	taua			ataaua						taaua	taaua					tʰaua	
WE_4								ɡida~ɡida													kita									
WET_1	parapara														para													pala		palapala
WET_2		maʔu	maʔu							maku																				
WET_3			rari		roro					rari						rari			lali	taarari				rari			rari			
WET_4				taitaia																										
WET_5				fakasasau																										
WET_6				vikuviku																						viku				
WET_7				maatuʔu																										
WET_8						su			suu								jujuu				suuʔia	susuu	siu		suu					
WET_9						ʰnupu																								
WET_10							pulu																							
WET_11								tʰiu																					siu	
WET_12										raŋa																				
WET_13											maakuaːku							maahuaːhu		maaʔuaːʔuʔuaːʔuːʔu										
WET_14												lousa																		
WET_15														ʔautau																
WET_16																		tavai												
WET_17																			hehe											
WET_18																												maalu		
WET_19																												hihiu		
WHAT_1	aa			aa									haa								aa		aa		aa	haa		aa	aa	aa
WHAT_2		aha	aʔa				aha	aha		aʔa	aha	afa		aha		aha		eaha	aha	aʔa				eaha			aha			
WHAT_3					rea				kea																					
WHAT_4						aha																								
WHAT_5															heaa		wea													
WHAT_6																						ʔoleaa								
WHEN_1	fukalu																													
WHEN_2		ahea	inaaʔea	aafea	afe	afia	inaahea			aʔea	aahea	afia	fe	aahea	anahee	aahea	wea		aɡahe	aaʔea		anafea		inaafea	afea	ʔanefee		aafea	anahea	afea
WHEN_3									keaohe																					
WHEN_4																		me												
WHEN_5																					ʔasohea									
WHEN_6																							itemokoahea							
WHERE_1	pea	hea		fea	ife			hee	hea	ʔea	fea	ifia	fee	hea	ihea	hea	iwea	hea	he	ʔea	hea	ʔofea	hea	hea	fea	ʔifee	hea		ihea	fea
WHERE_2			ʔia																											
WHERE_3						ua																								
WHERE_4							aiaihea																							
WHERE_5																												teehea		
WHITE_1	tea		teatea	tea	tea	tea	kea			tea		tetea	tea	tea		tea		tea	teatea	tea	tea	tea	tea		tea		tea	tea	tʰea	tea
WHITE_2	kena					kʰeŋo		kene									kena								kena					
WHITE_3		ʔuoʔuo																						ʔuoʔuo						
WHITE_4							keʔokeʔo																							
WHITE_5									maʔiŋi																					
WHITE_6											maa				maatea			maakita												
WHITE_7														tavaiʔe																
WHITE_8														teko																
WHITE_9																	mumuka													
WHITE_10																						sina				hinehina				
WHITE_11																						paʔepaʔe								
WHO_1	ai	vai	vai	ai			wai	ai	ai	ai	wai		hai	ai		ai	ai		aai	ʔai	ai		ai	ʔovai	ai	hai	ai	ai	ai	ai
WHO_2					koi	akai						kuai			koai			koai				ʔoai								
WIDE_1		ɢaɢahi																												
WIDE_2			ʔaʔano																	ʔaʔano				ʔaʔano						
WIDE_3				laulasi									laulahi									lautele				laulahi				laulahi
WIDE_4						ʰlafa		balaha	laha														llaha				raha	lauefa	laueha	
WIDE_5							aakea							fatea				atea		aatea		aateatea								
WIDE_6										ʔataʔata																				
WIDE_7											faanui																			
WIDE_8															raharaha	raharaha									lafalafa					
WIDE_9																	lapalapa	patapata												
WIDE_10																			kau											
WIFE_1	nopine	vahine	vaʔine			fine~nafune	wahine			veʔine	wahine	tefine		vehine			wawine	vahine		vaʔine				vahine	nofine				nohine	
WIFE_2				finematuʔa	finamatua																hiimatuʔa~hiɡimatuʔa									finematuʔa
WIFE_3								awaŋa							aavana							aavaaːva								
WIFE_4										aʔana			hoana																	
WIFE_5																			viiʔe											
WIFE_6																										mali				
WIFE_7																											moorire			
WIND_1	mataŋi	mataʔi	mataʔi	mataɡi	mataŋi	mataɡi	makani	madaŋi	makaŋi	mataŋi		mataŋi	mataŋi	metani	matani	mataŋi	mataŋi	mataŋi	mataɡi	mataŋi	mataŋi	mataŋi	matani	mataʔi	mataɡi	mataŋi	mataŋi		mataŋi	mataɡi
WIND_2				savili									havili									savili								havili
WIND_3						sau				hau	hau					sau			hahau											
WIND_4																			tokerau											
WING_1	kapakau			kapakau	pakakau	pakau		bakaumanu	apaʔau			pekau	tapakau	pekeu	kapakau		pakajau~kapakapa				kapakau	ʔapaʔau	kapakau		kapakau	kapakau		kapakau	kapakau	kapakau
WING_2		maiti																												
WING_3			pererau							pererau	parirau					pererau								pererau			pererau			
WING_4							ʔeeheu			pehau			peehau					paehau		peeʔau										
WING_5																			karʔa											
WORK (ACTIVITY)_1	ŋarue																					ŋalue				ŋaaue				ɡaaue
WORK (ACTIVITY)_2		ʔohipa																						ʔohipa						
WORK (ACTIVITY)_3			ʔatapu																											
WORK (ACTIVITY)_4				ɡaaʔoi																										
WORK (ACTIVITY)_5					feisaŋa	fiʃikai						wosiana																		
WORK (ACTIVITY)_6							hana			ʔaŋa				hana		aŋa	jaŋa	aŋaaŋa	aɡa	ʔaŋa					saŋa		haŋa	haɡa	aŋa	
WORK (ACTIVITY)_7									heheaʔu						hekau						haihekau		hekau							
WORK (ACTIVITY)_8											mahi																			
WORK (ACTIVITY)_9													ɡahua												ŋaua					
WORM_1		toʔeɢepo	toʔe				koʔe			iritoke	noke			toke		toke		toke		toke		toʔe		toʔe			toke			
WORM_2				kelemutu									kelemutu									ʔelemutu				kelemutu		kalemuta		
WORM_3						nufekere																								ʔulukele
WORM_4								patupatu																						
WORM_5															tamakerekere															
WORM_6																	veli													
WORM_7																			koreha											
WORM_8																					suɡati									
WORM_9																						ʔanufe								
WORM_10																													peipe	
YAWN_1		haamamatevaha	ʔaamama				haamama			ʔamama	haamama		mamao	mama		haamama		haamama		ʔaamama				haamama		mamao	haamama			mamaao
YAWN_2				maavava		mava									maava		maŋa				mababa	maavava			mava					
YAWN_3										naro																				
YAWN_4																			haka											
YEAR_1	tau			taʔu	tau	tau		tau	kau	tau	tau	tau	tau	tau					taʔu	tau	taʔu	tausaŋa	tau		tau	taʔu	tau	tauhaŋa		taʔu
YEAR_2		matahiti	mataʔiti				makahiki									matahiti	matawiti	matahiti	matahiti	mataʔiti				matahiti						
YEAR_3										ano																				
YEAR_4														huaʔa																
YEAR_5															kirimahi															
YEAR_6																	taakaloŋa													
YEAR_7																													ŋatae	
YELLOW_1	teteŋa						lena											reŋa							seŋa					
YELLOW_2		ɢeʔaɢeʔa	reʔareʔa							reŋareŋa						reŋareŋa	jeŋajeŋa			reŋareŋa				reʔareʔa		eŋeeŋa	reŋareŋa	heɡaheɡa		leɡaleɡa
YELLOW_3				felo	ferofero	fero			helo												heɡoheɡo		felo		fero			fefelo	helo	
YELLOW_4						rauneaʰleu																								
YELLOW_5								laupuke																						
YELLOW_6											koofai	maloloa																		
YELLOW_7													aɡo																	
YELLOW_8														tokatoka																
YELLOW_9															vaiano															
YELLOW_10																			para											
YELLOW_11																						leɡa								
YELLOW_12																						saamasama						sama		
YOU_1	kotou	ʔoutou	ʔoutou	koutou	kotou		ʔoukou			kootou	koutou	koutou		kotou	koutou		kootou	kootou		kootou	koutou	ʔoutou	koutou	ʔoutou	kootou	kimoutolu	koutou	koutou	koutou	koutou
YOU_2	korua	ʔooɢua	ʔuurua	koulua	korua	korua	ʔolua	ɡoolua	oolua	koorua~korua	koorua	korua			kourua		koolua	koorua	korua	koorua	kouɡua	ʔoulua	koulua	ʔoorua	korua		koorua	koulua	koulua	koulua
YOU_3	ke					koe																			kee					
