Gloss	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōtō	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
BURN_201-1	jaku	jaɡu	jaɡu	jaku	jaku	jaku	jaku	jaɡu	jaku	jaɡu	jaku	jaɡuɴ	jaksɨ	jaku	jaku	jaku	jaɡu	jaβu	jaβu	jakuɴ	jaku	jaɡu	jaku	jaʔ	jaku	jaku		jaku	jaku	jaɡu	jaku	jaku	jaku	jaku	jakjuɴ	jaku	jaku	jakuɴ		jaku	jaku		jaku	jaku	jakuɴ	jaksɨ	jaɡu	jaku	jaku	jaku	jaku	jaku	jaɡu	jaku	jaku	daɡuɴ	jaku	jaku
BURN_201-2																											taku															taku																
BURN_201-3																																							moju																			
BUY_44-1	kau	kau	karu	kau	kau	kau	kau	kau	kau	kau	kau	koːɴ	koː	kau	kau	kau	kau	kau	kau	kauɴ	koː	kau	kau	koː	kau	kau	kau	kau	kau	kau	kau	kau	kau	kau	kojuɴ	koː	kau	hoːjuɴ	kaβu	kau	kau	kau	kaː	kau	kauɴ	koː	kau	kau	kau	koː	kau	kau	kau	kau	kau	kuɴ	kau	kau
CHEW_53-1	kamu			kamu	kamu	kamu	kamu	kamu	kamu	kamu	kamu	kamuɴ	kam	kamu	kamu	kamu	kamu	kam	kam	kamuɴ	kamu	kamu	kamu	kaɴ	kamu	kamu	kamu	kamu	kamu	kamu	kamu	kamu	kamu	kamu	kamjuɴ	kamu	kamu	hamuɴ	kamu	kamu	kamu	kamu	kamu	kamu	kamuɴ	kam	kamu	kamu	kamu	kamu	kamu	kamu	kamu	kamu	kamu	kamuɴ	kamu	kamu
CHILD_77-1	kodomo			kodomo	kodomo	kodomo	kodomo		kodomo	kodomo	ko			kodomo	kodomo	kodomo	kodomo				kodomo		kodomo	kodoɴ	kodomo	kodomu	kodomo	koɴdomo	kodomo		kodomu	kodomo	kodomo	koɴdomo		koromo	kodomo			ɡodoɴ	kodomo	kodomo	kodomo	kodomo			kodomo	kodomo	kodomo	kodomo	kodomo	koromo	kokoçira	kodomo	kodomo		kodomu	koromo
CHILD_77-2		waraʃi	warasu					waraʃi														warasu								warasu					warabzɨ			waraːbi	waraha						jarabi													
CHILD_77-3													ʔfa					ʔfa	ʔfa	βaː																										ʔfa												
CHILD_77-4												ʔutama																																														
CHILD_77-5																																																								aɡami		
CHOOSE_32-1																																							eraβu																			
CLIMB_144-1	noboru	noɴboru	noɴboru	noboru	noboru	noboru	noboru	noboru	noboru	noboru	noborowa	nuburuɴ	nuːɨ	noboru	noboru	noboru	noboru	nuːriː	nuːl	nuburuɴ	noboru	noɴboru	noboru	nonoʔ	noboru	noboru	noboru	noboru	noboru	noɴboru	noboru	noboru	noboru	noboru	noːrjuɴ	noboru	noboru	nubuiɴ	noboru	noboʔ	noboru	noboru	noboː	noboru	nuːruɴ	nuːl	noboru	noboru	noboru	noboru	noboru	nobosu	noɴboru	noboru	noboru	nuruɴ	noboru	noboru
CLOUD_69-1	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	βumoɴ	βumu	kumo	kumo	kumo	kumo		βumu	kumu	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kʔumu	kumo	kumo	kumuː	kumo	kumo	kumo	kumo	kumo	kumo	βumu	βumu	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo		kumo	kumo
CLOUD_69-2																		ɴmu																																						ɴmu		
COLD_83-1			suɴbareru												ʃibareru							suɴbareru								subareru									samuʃi																			
COLD_83-2	sabjuː	samue		sabiː		sabui	samuka	sameː	sabjuː	samiː				sabui		sabui	samue				sabui		sabui		samiː	saɴka	samui		samui		sami	sabiː	samuka	sabui		saːme	samiː				samiː	samui	samiː	sabiː			samui	samui	samui	sabui	samui	sabui	saɴbu	samiː	samui		samiː	sabui
COLD_83-3											koɡeiru																																															
COLD_83-4					çijai																			çijuʔ				çijai							çiɡuruʃaɴ			çiːʃeɴ		çijka																		
COLD_83-5												piʃahaɴ	psɨʃikaɨ					ʔʃikai	psɨʃikam	piːʃaɴ																									piːjaɴ	piːʃaːl										çisaɴ		
COME_71-1	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuɴ	ksɨsɨ	kuru	kuru	kuru	kuru	βuː	βuː	ksɨːɴ	kuru	kuru	kuru	kuʔ		kuru	kuru	kuru	kuru		kuru	kuru	kuru	kuru	kjuɴ	kuru	kuru		ku	kuː	kuru	kuru	kuː	kuru	kuːɴ	ksɨː	kuru	kuru	kuru	kuru	kuru	kuru	kuru		kuru	kuɴ	kuru	kuru
COME_71-2																									iku																																	
COOK (SOMETHING)_207-1	rjoːri		rjoːri		rjoːri	rjoːri	rjoːri	rjoːri	rjoːri	rjoːri				rjoːri	rjoːri		rjoːri				rjoːri	rjoːri	rjoːri			rjoːri	orjoːri	rjoːri	rjoːri	rjoːri			rjoːri	rjoːri		rjoːri	rjoːri					rjoːri	rjoːri	rjoːri			rjoːri	rjoːri	rjoːri		rjoːri	rjoːri		rjoːri	rjoːri		rjoːri	rjoːri
COOK (SOMETHING)_207-10																																													usai													
COOK (SOMETHING)_207-11																				hoːmuɴ																																						
COOK (SOMETHING)_207-12																																							iru																			
COOK (SOMETHING)_207-2		ɡoʔʦo		ɡoʔʦoː												ɡoʔʦoŋoʔsae																																		ɡoʔʦoː			ɡoʔʦo					
COOK (SOMETHING)_207-3																																									nimonoːsuru																	
COOK (SOMETHING)_207-4											bouʤi																																															
COOK (SOMETHING)_207-5																									okaʣuoʦukuru																																	
COOK (SOMETHING)_207-6																																ɡjoːru																										
COOK (SOMETHING)_207-7																								ʤui							ʤuru				ʤuri					ʤuʔ																		
COOK (SOMETHING)_207-8																																						waɴraiɴ																				
COOK (SOMETHING)_207-9												munu	munusɨkoːɨ					mununiː	munusɨkuːl																											mununiː										ɲarumunu		
CORRECT (RIGHT)_182-1	hoɴto	hoɴto	hoɴto	hoɴtoː	hoɴto	hoɴto	hoɴnakoto	hoɴto	βuntoː	hoɴto	hoɴtu	βuntoː		hoɴto	hoɴtoː	hoɴma	hoɴtoː			βuntoː	hoɴma	hoɴto	hoɴma		hoɴto		hoɴma		hoɴto	hoɴto		βunto	hoɴtoː	hoɴto	βuɴnumuɴ	hoɴnoki	hoɴma	βuntoː		hoɴnakoto	hoɴto	hoɴma	hoɴnokoto	βuntoː	βuntoː		hoɴto	hoɴma	hoɴto	hoɴto	hoɴtoː	hoɴma	hoɴto	hoɴtoː	hoɴto		hoɴto	hoɴma
CORRECT (RIGHT)_182-2													maːɴtiː					maːɴti	maːɴtiː					makoʔ		makoʦu		makoto			makoʧi								masaʃi							maːɴti										mamuni		
COUNT_49-1		kaɴjeru			kaʣueru	kaɴjeru								kaʣueru	kaʣoeru													kaʣueru	kaʣoeru	kaɴʣoeru	kaʣojuru		kaʣojuru	kaʣueru			kaʣueru		kaʣoβu			kaʣoeru	kajeː				kaʣoeru		kaʣureru		kaʣoeru		kaɴjeru	kaʣøːru	kaʣoeru		kaʣojuru	
COUNT_49-2	kaɴjoseru		kaɴʤoeru	kaɴjoː			kaɴneru	kaɴjoːʃiru	kaɴjoːseru	kaɴjoːsuru	kaɴjoːsu						kaɴjoːsuru					kaɴjeru		kaɴʣuʔ	kaɴjoːsuru	kaɴʤuru						kaɴjoːʃiru				kaɴjoː				kaʣojuru	kaɴjoːsuru			kaɴjoːʃiru						kaɴjoːsuru								
COUNT_49-3												jumuɴ	jum			jomu		jum	jum		joɴ		jomu				jomu								jumjuɴ			jumuɴ							jumuɴ	jum		jomu				jomu						kaʣujomu
COUNT_49-4																				saɴmiɴsɨː																																						
COUNT_49-5																																																								dumi		
CRY_126-1	naku	naɡu	naɡu	naku	naku	naku	naku	naɡu	naku	naku	naku	naːɡuɴ	naksɨ	naku	naku	naku	naku	naʦɨ	naʦɨ	nakuɴ	naku	naɡu	naku	naʔ	naku	naku	naku	naku	naku	naɡu	naku	naku	naku	naku	nakjuɴ	naku	naku	nakuɴ	naku		naku	naku	naku	naku	nakuɴ	naksɨ	naɡu	naku	naku	naku	naku	naku	naɡu	naku	naku	naɡuɴ	naku	naku
CRY_126-2																																								omeku																		
CUT OR HACK_62-1	kiru		kiru	kiru		kiru	kiru	kiru	kiru	kiru	kiru		ksɨsɨ	kiru	kiru	kiru	kiru	sɨːʦɨː	ʦɨː	kisɨɴ	kiru	kiru	kiru	kiʔ	kiru	kiru	kiru		kiru		kiru	kiru	kiʔ	kiru	kirjuɴ	kiru	kiru	kiːɴ	kiru	kiː	kiru	kiru	kiː	kiru	kisuɴ	ksɨː	kiru	kiru	kiru	kiru	kiru	kiru		kiru			kiru	kiru
CUT OR HACK_62-2																														kiʣamu																												
CUT OR HACK_62-3		hajaʃi																																																			hajaʃi		hajasu			
CUT OR HACK_62-4					ʦumu																							tumu																														
CUT OR HACK_62-5												ʔsuɴ																																												ʦuɴ		
DAY (NOT NIGHT)_168-1	çiru	ʃiruma	suruma	çiru	çiru	çiru	çiru	oçiru	çiru	çiru	çiruma	psɨsuː	psɨːma	çiru	çiru	çiru	çiruma	çiːma	psɨlːma	psɨroːma	çiruma	çiru	çiru	çiː	çiru	çiru	çiru	çiru	çiru	çiru	çiru	ʃiru	çiru	çiru	çiɴma	çirunaka	çiru	piru	çiru	çiru	çiru	çiru	βiri	çiru	pusuma	psɨːma	oçiru	çiru	çiru	çiɴma	çiru	çiru	çiroma	çiru	çiru		çiru	çiru
DIG_181-1	horu	horu	horu	horu	horu	horu	horu	horu	horu	horu	horu	puruɴ	puɨ	horu	horu	horu	horu	βui	pul	purɨ	horu	horu	horu	hoʔ	hoʤikuru	horu	horu	horu	horu	horu	horu	horu	hoʔ	horu	βurjuɴ	horu	horu	βuiɴ	horu	hoː	horu	horu	hoː	horu	puruɴ	pul	horu	horu	horu	horu	horu	horu	horu	horu	horu	βui	horu	horu
DIRTY_59-1	kitanɛː	kitanɛ	kitanɛ	kitanɛː	kitanai	kitanai		kiʔtanɛ	kitanɛː	kitaneː	kitanakja			kitanaː	kitanai	ʧanai	kitane				kitanai	kiʔtanɛ	kitanai	kiʔsanaka	kitaneː	kitanaka	kitanai		kitanai	kidanɛ	kisane	kiʔtaneː		kitanaː		kiʔtanɛ	kitaneː		kitanaʃi		kitaneː	kitanae	kitaneː	kiʔtanɛː			kitanai	kitanai	kitanai		kitanai	kitanai		kitanɛː	kitanai		kisaneː	kitanai
DIRTY_59-10																																														sɨputalmunu												
DIRTY_59-11												jaɴʃihaɴ								janiʔʃaːɴ																									janijaɴ													
DIRTY_59-12																																																								dinaɴ		
DIRTY_59-2																																																					biʃo					
DIRTY_59-3																																																		uʣakuraʃiː								
DIRTY_59-4																												ɴdakiʤa																														
DIRTY_59-5							urameʃika																										joʔsowaʃika							josowaʃika																		
DIRTY_59-6																																			janaksɨʃaɴ																							
DIRTY_59-7																																						hoɡoʃeɴ																				
DIRTY_59-8													sɨkata																																													
DIRTY_59-9																		ʔʃana	ʔʃanaɡi																																							
DOG_25-1	inu	enu	enu	inu	inu	inu	iɴ	inu	inu	inu	inume	inu	iɴ	inu	inu	inu	enu	iɴ	iɴ	iɴ	iɴ	enu	inu	iɴ	inu	iɴ	inu	inu	inu	enu	iɴ	eno	inu	inu	iɴ	eɴɡa	inu	iɴɡwaː	inu	iɴ	inu	inu	eno	inu	iɴ	ina	inu	inu	inu	iɴ	inu	inu	enu	inu	inu	inu	iɴ	inu
DREAM (SOMETHING)_203-1	jumemiru			jumeomiru	jumeomiru	jumemiru	jumebamiru		jumemiru	jumeomiru	jumeomiru	imi		jumjoːmiru		jumemiru	jumemiru			imi			jumemiru		jumeomiru	jumebamiru		jumeomiru	jumeomiru	jumemiru	jumewomiru	jumeːmiru	jume	jumemiru	ʔimɨnirjuɴ	jumeomiru	jumjoːmiru	ʔimiːmiɴ	ime	jumebamiː	jume		imemiː	jumeːmiru	ʔimimiruɴ		jumeomiru	jumeomiru	jumeomiru		jumemiru		jumemiru	jumeomiru	jumeomiru	imi	jumjuːmiru	jumeomiru
DRINK_145-1	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numuɴ	num	nomu	nomu	nomu	nomu	num	num	numuɴ	nomu	nomu	nomu	noɴ	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numjuɴ	nomu	nomu	numuɴ	nømu	nomu	nomu	nomu	noɴ	nomu	numuɴ	num	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numuɴ	nomu	nomu
DRY_56-1	kawaku	kawaɡu	kawaɡu	kaːku	kawaku	kawaku	çiaɡaru	kʷaɡu	kawaku	kawaku	kawaku	karuɡuɴ	kaːksɨ		kawaku	kawaku					kawaku	kawaɡu	kawaku		kawaku		kawaku	kaːku	kawaku	kawaɡu			kawaku	kawaku		kawaku	kawaku		kawaku	kawaku	kawaku	kawaku	kawaku				kawaɡu	kawaku	kawaku		kawaku	kawaku		kawaku	kawaku		kawaku	kawaku
DRY_56-2																																																		hoseru								
DRY_56-3														çiru			çiru															ʃiru												çiru									βiru					
DRY_56-4																			kaːraʦɨ	kaːraɡuɴ				çiaɡaʔ		çiaɡaru					çiaɡaru														kaːrakuɴ	kaːrakɨ										karaɡuɴ		
DRY_56-5																																			korakjuɴ																							
DRY_56-6																																						haːrakuɴ																				
DRY_56-7																		sari																																								
