Gloss	Erzya	Estonian	Finnish	Forest Enets	Hill Mari	Hungarian	Inari Sami	Kildin Sami	Komi-Permyak	Komi-Zyrian	Livonian	Lule Sami	Meadow Mari	Moksha	Nganasan	North Karelian	Northern Khanty	Northern Mansi	Northern Sami	Northern Selkup	Olonets Karelian	Skolt Sami	Southern Sami	Tundra Nenets	Udmurt	Veps
SUCCEED	udalams	ɤnʲːestumɑ	ɔnːistʊɑ	ɔzidʲ	ʦæʃliæʃ	ʃikɛryl	lukːuð	vɨjːte	ʃoɡmɨnɨ	ɑrtmɨnɨ	vʊɲʃtə	vʊu͡ɔrbastʊvːɑt	sɑjʎektɑˑʃ	udalakʃɲems	sumuðəsɐ	ɔnːistʊɔ		jeːmtuŋkʷʲe	lihkʊstʊvːɑh	ʨonqa	ɔzitːʊɔ	onːʲsʲtʲɛd	lyhkɛstidh	ŋɑdʲimzʲ	bɨɡɑtɨnɨ~luɨnɨ	læxttɑ~tɛxtɑs
SUDDENLY	apakuʨo	ækːi~jærsku	ækːiæ	ɫɔkri~ɔbudʲɔdiɡɔn	tryk	hirtɛlɛn~ɛɟsɛrːɛ	fɑkːist	aːjnxanːa	druɡ	druɡ	ækiːst~jærskə	hæːhːkɑt	kenʲetɑˑ	aˑpakuʨt	lɐkɐrʲiɐiʔ	ækːiɛ	sərak~ʃaŋkap	ilttɪɣ	faːhkːestɑkɑ	pøpɨ	silɑiɡʊɑ~silkɛskiɛ	kruːtʲɒ	fɑːhkɛʧi	lærkɑbtʔ	mɑplɑmteʃorɨsʲ	ækːid
SUMMER	kize	suvi	kɛsæ	tɔ	kæŋɡɯʒ	ɲaːr	keːsi	keːɕː	ɡoʒum	ɡoʒəm	sɨˀvːə	ɡi͡ɛsːɛ	keŋeˑʒ	kiza	təŋə	kɛsæ	ɬuŋ	tuw	ke̯æsːi	taŋɨ	kɛzæ	c͡çiasːʲɘ	kiɛsiɛ	tɑʔ	ɡuʒem	kɛzɑ
SUMMIT	prʲa	mæetʲipː	lɑki~hui̯pːʊ	ɛba	nerkæ	ʧuːʧ	ʧokːe	laːdʲːv	jɨv	ʨuk	ʃpits~mæˀɡtutkɑːm	ʧɔhːkɔ	ʧɑŋɡɑˑ~kurɤkvuˑj	prʲa	nuːm~səŋkə~ŋojbʷo	lɑkːɑ~lɑki	taj	taʎaχ	ʧɔhkːɑ	pørɨ	hɑrjʊ~piæ	ʧɔcc͡çʲɘ	talβɛsɛ	ŋæwɑ	jɨl	lɑdv
SUN	ʨʲi	pæike	ɑwriŋkɔ	kaja	keʧɯ	nɒp	peivi~pi̯æivæʃ	peːjːv	ʃondi	ʃondi	pæːvɑ	bæːjvaʃ	keˑʧe	ʃi	kou	pæivæ	naj~χatɬ	χotal	pæjvːaːʃ	ʨelɨ	pæivʏ~pæivæinɛ	pɛivːʲɘ	piɛjːiɛ	xɑjeːrdʔ	ʃundɨ	pæivæinɛ
SUNDAY	ɲedlʲaʨʲi	pyhɑpæev	sʊnːʊntɑi̯	sæudɛdʲɛri	ruʃærnja	vɒʃaːrnɒp	pɑsepeivi	paːɕːpeːjːv	krʲeɕeɲːa	vəskreɕenɲə	pivɑːpæːvɑ	sɔdnɔbi͡ɛjvːɛ~ajlːɛk	ruʃɑrnʲɑˑ	tarɡoʃi		pyhæpæivæ	sʲutsʲatɪχatɬ	woskresʲeɲʲe~saːtpuŋkχoːtal	sɔtnɑpæjvi	woskrʲesʲeɲʲe	pʏhæpæivʏ	pɐsːʲpʲɛivːʲɘ	æːjlɛɡɛ	woːskrʲeːsʲeːɲʲeː~nɨlɑnɑwɑʲɑʎɑ	ɑrɲɑ	pʏhæpæiv
SUPPORT_(OF_OBJECT)	ɲeʒe	tuɡ̥i	nɔjɑ	tɔɫb	ʦæræk	taːmɒs~taːmɒsteːk	ʦɑɡːe	stueʎːp	pika	pɨkəd~mɨʤəd	tiˀɡpuː	ʦɑɡːɛ~nihtɑ	ʧɑrɑˑk	ɲeʒe	kusʲimʲi~torəmʲiʔ	pœŋkæ	aŋkaɬ	aŋkʷal	tʊvdtɑ~ʦɑɡki	ʨipːa	tʊɡi~tʊɡipuː	ʦəɡldək	tuβtɛɡɛ~toɒrjɛɡɛ	jeː̄nəbʦʲʔ	pɨket	tʊɡi
SWALLOW	ɲilʲems~porɲems	nʲeːlɑmɑ	niɛ̯lːæ	ɔɔʧʲ	nelæʃ	ɲɛl	ɲielːɐð	ɲiːlːe	ɲɨɫavnɨ	ɲɨɫɑvnɨ	niːɛlə	nji͡ɛlːɑt	nʲelɑˑʃ	ɲilʲems	ɲeltəmʲirsʲɐ	niɛlːæ~lɑinɔtɑ		juwajalaːntuŋkʷʲe	ɲiɛlaːðih	polʨɨqa	lɑinɔtɑ	ɲiəlːɐd	ɲɨɛlɛdh	ɲɑːlpəsʲ	ɲɨlɨnɨ	lɑinɑtɑ
SWAMP	ʨʲej	soː	suɔ̯	kɔtu	lykɯ	moʧaːr	jeɡːi	laːmʲːp	araj	ɡɨbɑd~kɑd	suːo	ahpɛ~sæːmsːɑ	lyˑkø	ʃaj	ɲerʷɐ	sʊɔ	ɬopta	kelɪɣ	je̯æɡki	lɨmpʲa	sʊɔ~hɛtɛ	ʝɛaɟɟ͡ʝʲɘ	pʰlʉɛβiɛ	lɨmbəd	ɲur	sɔ
SWAN	loksʲej	luik	jɔwʦɛn	dʲɛdʲu	jyksɯ	hɒcːuː	ɲuhʧɐ	ɲuxːʧ	juɕ	juɕ	kluːk	snjʊkʧɑ	jyˑksø	loˑkstʲi	dʲeŋkujkɨɐ	jɔʊʧɛn	χotaŋ	χotaŋ	ɲʊkʧɑ	ʨɨŋkɨ	jɔʊʧɛn	ɲuxtʧɐ	ɲukʧɛ	xoːxoːræj	jusʲ	jɔʊʦɛn
SWARM	polk~stada	pɑrv	pɑrʋi	tada	ʦuʦɑ	rɒj	tu̯ækki	tuxːk	staja~ʨukər	ʨukər	bɑrɑː~pluːokst	du͡ɔɑhːkɛ	kɑʃɑˑk	koˑvol~mʲeˑʃvʲelʲe		pɑrvi	pukat	aɲa	tɔ̯ɑhkːi	mʲilɨ	pɑrvi	pɒrvːɐ	toæhkiɛ	mɑdoːrʔ	ulːʲo	pɑrvɛh
SWAY	lɨkams~jakams	kɤikumɑ	hɔrjʊɑ		ləpʃɑltɑʃ	inoɡ~inɡɒdozik	ju̯ærbuð	lɨjvːe~kaʨʲedte	kəvʲjaɕnɨ	ʎeɡnɨ~ɫɑjkjɑvnɨ	liŋɡə~liːŋɡɑstə	vabːʊlit	lyŋɡɑˑʃ~tɑjnɤlɑˑʃ	jakams	dʲɐjŋɐrsɐ~dʲɐjŋɨtusɐ	hɛilʊɔ	ɬənttɪ	χosːɪɣχatuŋkʷʲe	sʊɛjpʊh	kukɨqa	hɛilʊɔ~vɑixtɛlːɑksɛh	lɐsmːɒd~lɛɐuʝːɒd	syjːɛdidh	mənzɑbtʲoːsʲ	voʃjɑsʲkɨnɨ	ʧibʊdɑ
SWEEP	tʲensʲems	pyxkimɑ	pyːxkæi̯stæ	ɫiuruɕʲ~ɫiuruɡuɕʲ	ɯʃtæʃ	ʃøpør	sihostið~ropːɐð	poːaːʃːe	ʨɨʃkɨnɨ	ʨɨʃkɨnɨ	puːˀstə	sʊu͡ɔhːʦit	yʃtɑˑʃ	tʲajems	kɐjbʲidʲɐ	pyyxkiɛ	jowaɬtɪ	χotχosɣuŋkʷʲe	lʊvteh	qatalqa	pʏxkiɛ	vastːɒd~seːkːstɛd	søːpɛdh	nɑʔwoːlʦʲ	ʧuʒɨnɨ	pʏxktɑ
SWEEP_(SOMETHING)	tʲensʲems	pyxkimɑ	lɑkɑi̯stɑ	ɫiuruɡuɕʲ	ɯʃtæʃ	ʃøpør	suopɐlistið	poːaːʃːe	ʨɨʃkɨnɨ	ʨɨʃkɨnɨ	puːˀstə	sɔbit	yʃtɑˑʃ	tʲajems	kɐjbʲidʲɐ	pyyxkiɛ	jowaɬtɪ	χosɣuŋkʷʲe	lʊvteh	qatalqa	pʏxkiɛ	vastːɒd	ʧirːɛdh	nɑʔwoːlpəsʲ	ʧuʒɨnɨ	ʊhɔitɑ
SWEET	lambamo	mɑɡ̥us	mɑkɛɑ	æsɛ	myæn	eːdɛʃ	ɲæːlɡis	ɲaːʎːkeɕ	ʨəskɨt	jumov~ʨəskɨd	mɑˀɡɟə	halmɛs~halmːa	ʃeˑre	lambama	ɲelʷɐɡə~sɐkɨrɲeəɡə	mɑkiɛ	mawaŋ	atɪŋ	ɲaːlɡkɑh	yʎuɲij~ɲuɲitɨj	mɑɡɛi	ɲaːʎʲɛs	siɛtiɛs	sɑxɑrjɑdɑ~ŋəmɲɑlədɑ	ʨʲeskɨt	mɑɡɛd
SWIM	ujems	ujumɑ	ui̯dɑ	pɔzʲɛdʲ	ilæʃ	uːsik	vuoijɐð	vuːjːe	vartʨɨnɨ	ujɑvnɨ	vʊiɡə	vʊu͡ɔʤɑt	jijɑˑʃ	ujems	dʲɐmbʲirsʲɐ	ʊijɑ	χowitɪ	uːjuŋkʷʲe	vʊ̯ɔcːɑh	uqɨlqa	ʊidʊɑ~ʊijɛlːɑ	vuəʝːɐd	βuʌjɛdh	ŋoːxoːləsʲ	ujɑnɨ	ʊjʊdɑ
SWING_(MOVEMENT)	nursʲems~lɨkams	vɤŋkumɑ	hɛi̯lʊɑ~ʋæræxdɛlːæ	ɫɔbtuʧʲ	kæʧæjæʃ	lɛnɡ	hi̯æiluð	moːaːxne	ɟucːaɕnɨ	ɫɑjkjɑvnɨ~ʎuɫʎɑvnɨ	liːɡə	ɡavːɑt	rypʃɑltɑˑʃ	lʲuksʲems~ɲurʲsʲems	dʲɐjŋɐʔsɐ~dʲɐjŋəbtusɐ	kiːkːʊɔ~kɛikːʊɔ	tʲatʲtitɪ	χosːɪɣχatuŋkʷʲe		kukɨqa	hɛilʊɔ~hæilʏœ	xɛilːɒd	kɑːβɛdh~sβinhtɛdh	lɑbpəsʲ~pərpəsʲ~xoːjxɑləsʲ	ʃonɑsʲkɨnɨ	ʧibʊdɑ
SWING_(SOMETHING)	jaxolʲems	vexkimɑ~lʲexvitɑmɑ	hɛi̯lʊtːɑː	ɫɔbtuʧʲ	mɑʃəjaʃ	loːbaːl~loboɡtɒt	hi̯æilutːið	maxːje	əvtnɨ~makajtnɨ	əvtnɨ~ʃenɑɕnɨ	vɨˀilə~vɛːtsiɲcːə	svikːɑstit	ryzɑˑʃ	jafodʲems	dʲɐjŋɐsɐ	hɛilʊtːʊɑ~viʊxkʊtːʊɑ	jowaɬtɪ	matɪrχosɣuŋkʷʲe	ʃlivkʊh	utɨsalaqɨrqa	hɛilʊtːʊɑ~hæilʏtːiæ	xeːiltɛd	sβinhtɛdh	xoːjxəlɑmbəsʲ~lɑbpəsʲ	ʃonɑnɨ	mɑihʊtɑdɑ
TABLE	stolʲ	lɑud̥	pœɥtæ	tɔɫ	støl	ɒstɒl	pevdi	tueʎː	pɨzan	pɨzɑn	loːdɑ	bi͡ɛvdːɛ	ystʲeˑl	ʃra~morkʃ	ŋəmursɐ	stɔlɑ	pasan	pasan	pe̯ævti	tøntɨpo	stɔlɑ	pɔrʲdːʲɘ~stuɛlːʲɘ	pʉɛrtiɛ	toːl	ʤʌk	lɑʊd~stɑlʲʦ
TAIL	pulo	sɑb̥ɑ	hæntæ~pʏrstœ	batuɔ	pɑʧ	fɒrok	seibi	piʤ~ɕeːjːp~peːʨeç	bəʒ	bəʒ	tɑbɑːr	si͡ɛjbːɛ	poʧ	pula	təjbu	hæntæ	ɬɪj~puʃi	ləɣ	pɑðʊʃ~sæjpi	talʨi	hændʏ	sɛibːʲɘ~piatʦʲic͡ç	siɛjpiɛ	murtɨʔ	bɨʒ	hænd
TAKE	sajems	vɤtmɑ	ɔtːɑː	muɕʲ	nɑlɑʃ	vɛs	vældið	vaːʎːte	boɕtnɨ	boɕtnɨ	vɨtːə	valːdɛt	nɑlɑˑʃ	sʲavoms	ɲɐkələsɨ	ɔtːʊɑ	wutɪ	wiːŋkʷʲe	vaːltih	jiqa	ɔtːʊɑ	valʲdːʲɛd	βæːltɛdh	meːsʲ	kutɨnɨ~bɑsʲtɨnɨ	ɔtːɑ
TAKE_A_WALK	jakams	jɑlutɑmɑ	kæʋɛlːæ	dʲazuʧʲ	mɑðənkɑʃtɑʃ	ʃeːtaːl	vɑʣɐʧːið	ɡuʎʲedte	kotraɕnɨ	ɡuʎɑjtnɨ	tsɛːrə~kɛɲʒlə	vatːsɑʧit	ɡuʎɑˑjɑʃ	jakams	dʷatyrybtiɐirsʲɐ	kævɛlːæ		nasjoːmɪɣtaŋkʷʲe	vaːʦːɑʃih	qʲaltɨrɨqa	kævɛlːæ	vadʣʲɛd	βæːʦːɛdh~βɑːʦːɛhʧidh	jɑdæsumbəsʲ	mɨnɨnɨ~vetlɨnɨ	kævɛltɑ
TAKE_OFF	kajsʲevtʲems	kæestvɤtmɑ~jɑlɑstvɤtmɑ~sʲeljɑstvɤtmɑ	riːsʊɑ	dikaɕʲ	kəðɑʃɑʃ	lɛvɛs	noːlːɐð	jaːkːɕe	ɡɨʒtətnɨ~pərtʨavnɨ	pərʨːədnɨ	sæːlɡɑstviɛˀdːə	nʊu͡ɔlːɑt	kudɑʃɑˑʃ	kajsʲeftʲems	ɲeysɐ	riːʧːiɛ	əŋχtɪ	χotaːχʷsalaːntuŋkʷʲe	nʊ̯ɔlːɑh	ɲaŋɨlʨɨqa	jɑksʊɑ~hɛitːiæ	nəːlːɐd~ʝaxʲsːʲɛd	sβæjkɛdh	ɲɑːʦʲ	kɨlʲɨnɨ	riːʧtɑ~rʊʃtɑ
TALK_(TO_SOMEONE)	kortams	kɤnʲelʲemɑ	kɛskʊstɛlːɑ	dʲɔridʲ	ʃɑjəʃtɑʃ	bɛseːl	ɑrvɐlɐdːɐð~særnudið	jeːvnelːe	bajitnɨ	ɕorɲitnɨ	rɨkɑːndə	sahkɑdit	mutlɑnɑˑʃ	korxɲems	bʷodʲɐ	pɑisːɑ	potartɪ	potɪrtaŋkʷʲe	hʊpmɑh	mulɨmpɨqa	pɑistɑ	mɒinstɛd	hoɒlɛdh	lɑxɑnəsʲ	verɑsʲkɨnɨ	pɑɡiʃtɑ
TASTE	tanstʲ	mɑitsʲe	mɑkʊ		tot	iːz	mæːhu~smɑkːɐ	ɲaːʎːk	kər	kər~ʨəsməs	mɑits	mʊu͡ɔsːɛ~smahːkɑ	tɑm	taɲf	ŋəmsʷoɡə	mɑkʊ	əpaɬ	at	maːhkʊ~smaːhkːɑ	ɲuɲa	mɑɡʊ	ɲəːdɐ~smaːkːɐ	æːlmiɛ	ŋəwuʔ	ʃʌm	mɑɡʊ
TASTE_(SOMETHING)	varʃams	proːvimɑ	mɑi̯stɑː	kɔɔrɔɕʲ	toteʃtæʃ~poðəlɑnʒɑʃ	koːʃtol~mɛɡkoːʃtol	ɲɑdːeð~keʧːɑlistið	kiːxʧʎe	pʲeʃɫɨnɨ	vidɫɨnɨ	kɔːˀʎə~smɛkːə	smahːkʊt	tɑmlɑˑʃ	varʒams	məltɨrsɨ	mɑisːɛlːɑ~mɑistʊɑ	artaɬatɪ	aːrtalaŋkʷʲe	ke̯æhʧːɑlih	saŋaqa	ɔpːiɛ	ɲɐdːʲɛd	tamtɛdh~smoːhkɛdh	xoːrpəsʲ	verjɑnɨ	mʊjɑdɑ
TASTY	tantʲej	hɤrk~mɑitsʲev	hɛrkʊlːinɛn	ɔjta	totɑn	finom	ɲæːlɡis	ɕiːɡ	kəra	ʨəskɨd	mɑˀɡɟi	hæːrsːku͡ɔ	tuˑtlo	tanʦtʲi	ɲelʷɐɡə~ŋəmnəɡəː	mɑkiɛ~mɑkʊsɑ	əpɬaŋ	atɪŋ	ɲaːlɡkɑh	ɲuɲitɨj	mɑɡɛi	ɲədːʲi	heærskuʌs	ŋəmɲɑlədɑ~ŋəwudoːtɑ	ʨʲeskɨt	mɑɡʊkɑz
TEA	ʨaj	tʲeː	tɛː	ʧaj	ʧæj	tɛɒ	ʧeː~teːjɐ	ʧajː	ʨaj	ʨɑj	tɛːj	tɛʤɑ	ʧɑj	ʨaj	c͡çɐi	ʧæijy	ʃaj	sʲaːj	te̯æcːʊ	ʨoj	ʧʊɑjʊ	ʧeːɐ	løːβjɛ	sʲɑj	ʨɑj	ʧɑi
TEACH	tonavtoms	ɤpetɑmɑ	ɔpɛtːɑː	tɔhɔdaɕʲ	təmdɑʃ	tɒniːt	mætːæːtːið	maːtʲxa	vʲeɫətnɨ	veɫədnɨ	opɑːtə	ɔhpɑdit	tunɤktɑˑʃ	tonaftoms	xɨc͡çibtɨsɨ	ɔpɑstʊɑ	χurattɪ~utaɬtɪtɪ	χanisʲtaŋkʷʲe	ɔ̯ɑhpɑhih	tantaltɨqa	ɔpɑstʊɑ	matːtɛd~vuapːʲsʲtʲɛd	øːhpɛhtidh	toːxoːlɑsʲ	dɨʃetɨnɨ	ɔpɛtɑ
TEACHER	uʨʲitʲelʲ~tonavtɨʦʲa	ɤpetɑjɑ	ɔpɛtːɑjɑ	tabʲɛkuza~tɔhudaɡuza	təmdəʃə	tɒnaːr~tɒniːtoː	mætːæːtːijːeː	uxːʦej	vʲeɫətiɕ	veɫədɨɕ	opɑːtiji	skɔvlik~ɔjpɑdidːjɛ	tuˑnɤktɤʃo	uʨʲiˑtʲelʲ	xoðəsʲi	ɔpɑstɑjɑ	utaɬtɪtɪχu	χanisʲtanχum	ɔ̯ɑhpɑhe̯æɟci	uʨiʨilɨjqum	ɔpɑstɑi	uʧʲtʲeːlʲɘ~matːteːi	luhkɛhtæjːa	toːxoːlkoːdɑ	dɨʃetisʲ	ɔpɛndɑi
TEAR_(OF_EYE)	sʲelvedʲ	pisɑr	kyːnɛl	sɛjkɔiɫ	sɯnzævɯð	køɲː	koːɲɐl	keːɲal	ɕinva	ɕinvɑ	kiːɲɟɨl	ɡɑnjal	ʃinʧɑvyˑd	sʲelʲmovʲeˑdʲ	kəːlɨ	kyynæl	səmjiŋk	samwit	kɑɲɑl	sajityt	kyːnæl	kəːɲɐl	kɨkɲɛlɛ	xəjəl	sʲinkɨlʲi	kʏndɑlʲ
TEAR_(SHRED)	sʲezʲems	reb̥imɑ~ærɑreb̥imɑ	rɛpiæ	sæbæɕʲ	kɯræʃ~kəʃkeðnælæʃ	lɛteːp	roːtːɐð	roːdtʲʲe~puːtʲːkʲe	orətnɨ	orədnɨ	jɑrɑːkiːskə~kiːskə	ɡɑjkːu͡ɔt	kyrlɑˑʃ	sʲazʲems	bərʲiəʔbtɨsɨ	rɛpiɛ	χoɬtɪmenəmatɪ	χotmanumtaŋkʷʲe	kɑjkːihih	tonɨtqɨlqa	kiʃkʊɔ~rɛvitːiæ	rɒʃʲcc͡çʲeːd~rɔːtːɒd	pɨhkɛdh	nɨkəlʦʲ~nɨdoːbtɑsʲ	jiʃkɑltɨnɨ	rɑtkɛtɑ
TELL	jovtɲems	jutustɑmɑ	kɛrtɔɑ	kitaɕʲ	kelesæʃ	mɛʃeːl~ɛlbɛseːl	uvæstɐlːɐð~mɑinɐstið	moːaːjnɕe	viɕtavnɨ	viɕtɑvnɨ	niːʒə	ɡi͡ɛhːtu͡ɔt~sʊbʦɑstit	ojlɑˑʃ	aˑzondoms	dʲebtudʲɐ~dʲurɨmɨʔkədʲi	sɑnɛlːɑ	potarttɪ	potɪrtaŋkʷʲe	mʊjtɑlih	mulaltɨqa	kɛrdʊɔ~sɑnɛlːɑ	mɒːinstɛd	sɑːkɛstidh	wɑdʲeːʦʲ	verɑnɨ~mɑdʲɨnɨ	sɑnʊdɑ~stɑrinɔitɑ
TEN	kemʲeɲ	kymːe	kʏmːɛnɛn	biu	lu	tiːz	love	loaɡk	das	dɑs	kim	lɔhkɛ~lɔɡɛv	lu	kemoɲ	bʲiːʔ	kymːɛnɛn	jaŋ	low	lɔki	kʲot	kʏmːɛnɛ	lɔːiɐ	lʉhkiɛ	juʔ	dɑs	kʏmnɛ
TENDON	kosʲkesan	kɤːlus	jænːɛ	tɨ	kukʃəʃyn	iːn	suonɐ	suːnː	ʒiɫa	vez	suːorʲ	sʊu͡ɔdnɑ	ʃøn~kyseˑn	kosʲkesan	tɐŋ~soŋkʷo	jænːɛh	jan~ɬon	taːn	sʊ̯ɔtnɑ	tæn~ʨɨntɨ	nivɛl	suənːɐ	suʌnɛ~koːrtɛɲɛ	teː	vuʒ	jændɛ
THAT	tʲe~tona	sʲeː	sɛ	ʧiki	tiðɯ~ti	ɒz	tot	tudt	sija	cijə	sɛ	dɑt	sɑˑde	sʲa~tona	təː	sɛ	ɕʨit~tumi	ta	tɑh	na	sɛ~tɑi	tətɐ	tuhtɛ	tʲikɨ	so	sɛ
THAW	solams	sulɑmɑ	sʊlɑː	dʲuɡuɕʲ	ʃəlɑʃ	olvɒd	sudːɐð	sunːte	sɨvnɨ	sɨvnɨ	suˀlːə	sʊdːɑt~sɑɡŋɑdit	ʃulɑˑʃ	solams	dʷaɐɲentəsɐ	sʊlʊɑ	ɬoɬtɪ	toluŋkʷʲe	sʊdtɑh	ʨuqa	sʊlʊɑ	sudːɐd~səːŋːɐd	leæmkɛdh	xoːlkənəsʲ~xoːlkəŋɡəsʲ	ʃunɑnɨ	sʊlɑdɑ
THEN	mʲejlʲe~sʲedʲemʲejlʲe	sʲiːs	sitːɛn	pɛna	pɑkəlɑ	ɒkːor	te	tʲe	sɨbərɨn	bərɨn~bərci	siˀz	dɑlːu͡ɔj	vɑrɑˑ	mʲelʲe~sʲadamʲelʲe	təɡətə	siːtæ	juχat	tuwɪl~tajaχ	te	pun	sit	dɛɐ~tɛaɐ~ɐtːʲɛ	tiɛ	tɑdʲːikɑd	berlo	sidʲ
THERE	toso	sʲeɑl	siːnæ~siɛ̯lːæ	tɔnɨn	tɯʃtɯ	otː	tuo~tovben	tʲolːe~tamʲpe	setən	seni	sæːˀl	dɑlɛ	tuˑʃto	tosa	tɐmnu	siɛlæ~tʊɔlɑ	sita	tot	tɑkːɔ	nɨmtɨ	siɛ~nɛʧiɛ	tobʲɛn	takːuʌ	tɑjnɑ~təɲɑnɑ	oti~otɨn	siɡæ
THEY	sɨɲ	nɑd̥	hɛ	budu	nɯnɯ	øːk	sij	sɨjː	nija	nɑjə	nɛ	sij	nuˑno	sʲiɲ	sɨtɨŋ	hyœ	ɬuw	taːn	sij	tæpɨn	hʏœ	siʝɐ	tah	pɨdoːʔ	soos	hœ
THICK	eʨke	jæme	pɑksʊ	nauʧʲɛ	kɯʒɣɯ	vɒʃtɒɡ	ɑsːɑː~ɑsɑlɐʃ	keːsː	kɨz	kɨz	jɑˀmdi	ɑsːa	kyˑʒɡø	eʨke	ɲɐc͡çeɡəː	pɑksʊ	kuɬ	osɪŋ	ɑsːaːj	ɲaŋqtɨj	jærɛi~sɑŋːɛi	kəsːɐd~ɐsːɒi	kɨsːɛ~jasːijɛs	ɲɑŋoːtɑ	zʌk	pɑks
THIGH	kaʨo	reis	rɛi̯si		ærðɯ	ʦomb	ʧu̯ærbpeːli	ʧuarːbeːʎː	ʎaɟbʲej	ʎɑɟvej~bek	rɛiz	ʧibːɛ	eˑrde	pilʲɡepukʃa		rɛisi		pesʲ	kɑsːɑvaːhkːaː~pɑcːevaːhkaːɑ	pʲalɨ	rɛizi	ʧɛbːʲɘ	rɵakʃa	jeːjʔ	mɑkes	riːʒɛ
THIN (OF SHAPE OF OBJECT)	ʨoviɲe	ɤhuke~peːnʲike	ɔhʊt	dʲata	vɯʦkɯʒ	veːkoɲ	ɑsetːem	raɕː~raʒeɕ	vəsɲit	vəsɲi~vəsɲɨd	vʊiti~piːɛnti	ɑsidɑʃ	viˑʧkɤʒ	ʃuvaˑɲa	sɨrəʔʎuky	hɔikːɑ	wasʲ	woːwta~oːsʲsʲa	ɑsehɑʃ	ʨoptɨj	hɔikːʊ	ɐːzːʲtʲɛmʲɘ	jisːɛhʦ	ɲɑnzʲədɑ	vekʨʲi	hɔik
THING	tʲev~veɕ͡ʨa	esʲe	ɑsiɑ	ɔburi	xæðɯr	doloɡ	æʃːi	veːʃː	tor	dobrɑ	ɑʒɑː	asːjɛ	nɑstɑˑ	tʲev~vʲeɕʨa	ŋɐʎir	ɑsiɛ~vɛxkɛh	pormas	ut	aːʃːi	utak~tʲetamɨ	ʃɛikːʊ	aʃːʲɘ	ɑːtɛ~sɑːkɛ	ŋɑmɡædʲikɨ	kotɨr	ɑzj
THINK_(REFLECT)	arsʲems	mɤtlʲemɑ	miɛ̯tːiæ~ɑjɑtɛlːɑ	bituʧʲ~bidʲazudʲ	mɑʃɑnɑʃ	ɡondol	jurdeð~jurdɐʧːið	jurːte	ʨajtnɨ	məvpɑvnɨ	ɑrːə~mɨtlə	ajadɑlːɑt~ʊʃʊdit	ʃonɑˑʃ	arʲsʲems	sɨɲerɨrsɨ	ɑjɑtɛlːɑ	numastɪ	nomsuŋkʷʲe	jʊrdtɑʃih	tʲenɨrpɨqa	smiɛtːiɛ	ʝuːrdʧɛd	ʉsːjɛdidh	jiʔʲɑdærʦʲ	mɑlpɑnɨ	mɛlɛtɑdɑ
THIN_(SLIM)	vidʲeronɡa	sɑlʲe	hɔi̯kːɑ~sɔlɑkːɑ	dʲata	jaʃtɑkɑ	kɒrʧuː	ʃoːðbɐs	ɕeːŋjkeɕ	staca	veɕkɨd	vɔːˀjli	bi͡ɛvrɛk~njʊu͡ɔrːu͡ɔ	joʃtkɑtɑˑ~jɑʒuˑ	vʲidʲeronɡa	sʲusʲuɐdʲe~kojmusəː	sɔlɑkːɑ	kerijm	urum	se̯æɡki	ʨesɨætɨj	ʃɔixkɛi	sɛaɟɟ͡ʝʲɘ	siɛkːiɛs	ɲɑnduj	vesʲkɨt~vesʲkres	kɑpɔs
THIRD	kolmoʦʲe	kolmɑs	kɔlmɑs	nɛhudɛ	kəmʃə	hɒrmɒdik	ku̯ælmæd	kuːaːlːmant	kujimət~kujimədz	kojməd	kuolmi~kuolmɨz	ɡu͡ɔɑlmat	kuˑmʃo	kolmoʦʲe	nɐɡəmtʷo	kɔlmɑs	χuɬmet	χuːrmit	kɔ̯ɑlmːaːh	nøkɨrmtʲelɨj	kɔlmɑs	kualmɒd	koɒlmɛdɛ	ɲɑxɑroːmdæj	kunɲmetijez	kɔʊmɑnzʲ
THIRTY	koloɲɡemʲeɲ	kolmkymːend̥	kɔlmɛkʏmːɛntæ	nɛhubiu	kəmlə	hɒrminʦ	kulmɐlov	koːlːmloaɡk	kujimdas	komɨn	kuolmkimdə	ɡɔlmːɔlɔhkɛ	kuˑmlo	kolmoɡemoɲ	nɐɡyrbʲiːʔ	kɔlmɛkymːɛntæ	χoʎmaŋ	waːt	kɔlɔbmɑlɔki	nøsːar	kɔlmɛkʏmːɛn	koumːlo	kulmɛlʉhkiɛ	ɲɑxɑrʔʲuʔ	kuɑmɨn	kɔʊmɛkʏmnɛ
THIS	tʲe	sʲeː	tæmæ	ɛki~ʧiki	tiðɯ~ti	ɛz	tæːt	tedt	eta	tɑjə	tɑ	dat	tʲiˑde	tʲa	əmtɨ~tətirə	tæmæ		tɪ	taːh	na	tæmæ~sɛ	tatɐ~tiɛtːɒː	tihtɛ	tʲikɨ	tɑ	nɛʦɛ
