Gloss	Erzya	Estonian	Finnish	Hungarian	Inari Saami	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Pite Saami	Proto-Uralic	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Ume Saami	Veps	Votic	Võro
SNOW_180-e								ʧŏɣət																			
SNOW_180-f															ɕiry				sɯrə								
SNOW_180-g									veːʣ																		
SOME_288-a	konɑbutʲi										kuʧɤmkɤ								qɑj kos				kudiz ke				
SOME_288-b	meʑebutʲi	miski		vɒlɒmi										ɑlɑmo~ɑlɑmo	mɑːɡyə~mɑːɡyə											mikæle~mikæle	
SOME_288-c		keːki								kinkɤ													kin ke				
SOME_288-d			jo̞kin			joɡ̊u																					
SOME_288-e																											
SOME_288-g	tɑkodɑmo																										
SOME_288-h													mɑt														
SOME_288-i														ɑlɑmo													
SOME_288-j														iktɑʒ~iktɑʒ													
SOME_288-k																											
SOME_288-l									muɡːavierʲt																		
SOME_288-m															kurədʲikyə												
SON-IN-LAW_275-a			ʋævy	vøː		vævy		wo̝ŋ	vɨvː					βeŋe	biŋi				kuə̠nək							vævy	
SON-IN-LAW_275-b																											
SON-IN-LAW_275-c																											
SON-IN-LAW_275-d									zeahtʲ																		
SON-IN-LAW_275-e	sodɑmo																										
SON-IN-LAW_275-g													wɑːps														
SON-IN-LAW_275-h																			emnæ								
SON-IN-LAW_275-i																							emespi				
SON-IN-LAW_275-j										ʑɑtʲ																	
SONG_260-a		lɑul	lɑwlu			lɑulu																				lɑulu	
SONG_260-b																											
SONG_260-c																											
SONG_260-d																											
SONG_260-e	moro													muro													
SONG_260-f										ɕɯlɑnkɯv	ɕɯlɑnkɯv																
SONG_260-g				eːnɛk																							
SONG_260-h				dɒl																							
SONG_260-i																							kɯrʑɑn~kɯrʑɑn				
SONG_260-j								ærəɣ					eːriɣ														
SONG_260-k																											
SONG_260-l																			lɤːrə								
SONG_260-m															bəlɯ												
SONG_260-n									laːvːl																		
SOON_246-a		peɑ	piɑn																								
SOON_246-aa																											
SOON_246-ab															ɲerɑʔɑ												
SOON_246-az										ɤni																	
SOON_246-b		kohe	ko̞xt̪ɑ																								
SOON_246-c																											
SOON_246-d		vɑrstːi																									
SOON_246-e																											
SOON_246-f																											
SOON_246-g																											
SOON_246-i	ɲejke																										
SOON_246-j	kurokːe																										
SOON_246-k											ɤdjɤ~ɤdjɤ																
SOON_246-l				hɒmɒr																							
SOON_246-m				minɟaːrt																							
SOON_246-n														βɑʃke													
SOON_246-o																							ʤoɡ				
SOON_246-p													moɕeːrtn														
SOON_246-q																											
SOON_246-r																			ʨɑːk								
SOON_246-s									vextenːʲe																		
SOON_246-t								əsipə																			
SOON_246-v										ʨɑsɤt																	
SOON_246-x						pɑrˑɑikɑː																					
SOON_246-y																										ʧiːre	
SOUND OR NOISE_261-a			æːni			æːni																				æːni	
SOUND OR NOISE_261-b																											
SOUND OR NOISE_261-c		hæːl																								elin	
SOUND OR NOISE_261-d	ɡɑjtʲ																										
SOUND OR NOISE_261-e	vɑjɡeʎ																										
SOUND OR NOISE_261-f										ʃɯ	ʃɯ																
SOUND OR NOISE_261-g											ɡɤlɤs																
SOUND OR NOISE_261-h				hɒŋɡ																							
SOUND OR NOISE_261-i														jyk													
SOUND OR NOISE_261-j																							kwɑrɑ				
SOUND OR NOISE_261-k								sø̆j					suj														
SOUND OR NOISE_261-l									jɒːfː																		
SOUND OR NOISE_261-m													χɑʎ														
SOUND OR NOISE_261-n																											
SOUND OR NOISE_261-o																			ʨɑru								
SOUND OR NOISE_261-p															sɑy				syːmə								
SOUND OR NOISE_261-q																											
SOUND OR NOISE_261-r																											
SOUND OR NOISE_261-s															dʲeʎi												
SPIDER_247-a		æmplik	hæmæɦækːi			hæmæhæːkːi																					
SPIDER_247-b									jevneʃ																		
SPIDER_247-c	ʃɑnʒɑv																										
SPIDER_247-d										ʨerɑɲ	ʨerɑɲ												ʨonɑri				
SPIDER_247-e				poːk																							
SPIDER_247-f														eŋə̠remə̠ʃ													
SPIDER_247-g													ɲimser														
SPIDER_247-h															imiðiɑj												
SPIDER_247-i																											
SPIDER_247-j																			iːʨæ								
SPIDER_247-k									ɒːz																		
SPIDER_247-l								kɑlwɯʎni																			
SPIDER_247-m																										hæmølæin	
SPIT_181-a	ɕeʎɡems	sylitːɑtɑ	sylke̞æ			sylkiæ		sø̆jəm	ʧoːlːke	ɕɤlɑvnɯ	ɕɤlɑvnɯ		sɑʎɣi	ʃyβɑlɑm									ɕɑlɑnɯ			sylʧimæ	
SPIT_181-b				køp																							
SPIT_181-c															ɕebɕidʲi												
SPIT_181-d																			syəsɑ								
SPLIT_182-a			hɑlkɑist̪ɑ			hɑlɑisːɑ																					
SPLIT_182-b		lɤhestɑtɑ																								lɤhkomɑ	
SPLIT_182-c																											
SPLIT_182-d									luenːʲte																		
SPLIT_182-e	lɑzoms																										
SPLIT_182-f														ʃelɑm													
SPLIT_182-g											ʨɑʃkɤdnɯ																
SPLIT_182-h																							piʎɯnɯ				
SPLIT_182-i				hɒʃiːt																							
SPLIT_182-j													χusɑti														
SPLIT_182-k								ɭɑ̆ŋkɯt																			
SPLIT_182-l																											
SPLIT_182-m																			pɑʨɑl								
SPLIT_182-n											potkɤdnɯ																
SPLIT_182-o								pəlkæχtə~pəlkæχtə																			
SPLIT_182-p																											
SPLIT_182-q										vundɯʃtnɯ																	
SPLIT_182-r																											
SPLIT_182-s																											
SPLIT_182-t															kɯrkɑʔsɑ												
SPLIT_182-u															ʧəirɕi												
SQUEEZE_183-a			purist̪ɑː			puristɑː																					
SQUEEZE_183-aa																											
SQUEEZE_183-ab																											
SQUEEZE_183-ac						piɡ̊istæː									mebkiɕi~mebkiɕi												
SQUEEZE_183-az						ɑhistɑː																					
SQUEEZE_183-b																											
SQUEEZE_183-c																											
SQUEEZE_183-d		pikistːɑtɑ																								picisːemæ	
SQUEEZE_183-e																											
SQUEEZE_183-f																											
SQUEEZE_183-g																											
SQUEEZE_183-h	ʎepʃtʲɑms																										
SQUEEZE_183-i	ʧemerʲdʲems																										
SQUEEZE_183-j														pə̠zə̠rem												puzɤrtɤːmɑ	
SQUEEZE_183-k	ɕuvordɑms																										
SQUEEZE_183-l											nɯrnɯ																
SQUEEZE_183-m											ʎiʨkɯnɯ																
SQUEEZE_183-n																							ɲurɑnɯ				
SQUEEZE_183-o				ɲom																							
SQUEEZE_183-p				soriːt																							
SQUEEZE_183-q													mɑrli														
SQUEEZE_183-r								pətʲər																			
SQUEEZE_183-s														puɲʧem													
SQUEEZE_183-t																			ɯp				pɑʨkɑtɯnɯ				
SQUEEZE_183-u								nøɣər																			
SQUEEZE_183-v								pɑɣəl																			
SQUEEZE_183-w																											
SQUEEZE_183-x									paʤe																		
SQUEEZE_183-y										ʒmitnɯ																	
STAB_262-a			pist̪æː																							pisːemæ	
STAB_262-b								poɣləm					puwti														
STAB_262-c		torkɑtːɑ				tørɡ̊æd̥æ																				torkːɑmɑ~torkːɑmɑ	
STAB_262-d																											
STAB_262-e									ʧoːhke																		
STAB_262-f																											
STAB_262-g																											
STAB_262-h																											
STAB_262-i	pupɑms																										
STAB_262-j	ɕɑlɡoms																										
STAB_262-l														kerɑm													
STAB_262-m											suʧkɯnɯ																
STAB_262-n											bɯʧkɯnɯ												bɯʃkɑltɯnɯ				
STAB_262-o				suːr										ʃurem													
STAB_262-p										tʲukɲitnɯ																	
STAB_262-q								pel					peːli														
STAB_262-s																											
STAB_262-t																			suə̠ŋkə								
STAB_262-u										tɑʧkɑvnɯ																	
STAB_262-v															nərudʲi												
STAND_46-a	ɑʃtʲems ɕtʲɑdo	seistɑ	se̞jst̪æ			seisːæ			ʧuenːʧe																	seisomɑ	
STAND_46-b																											
STAND_46-c										sulɑvnɯ	sulɑvnɯ			ʃoɣem									sɯlɯnɯ				
STAND_46-d								lɑʎ					ʎuːʎi														
STAND_46-e															nənsɯdʲi				nɯŋki								
STAR_99-a	tʲeʃtʲe	tæht	t̪æçt̪i			tæhti			taːsːʲt																	tæhti	
STAR_99-b														ʃyðə̠r													
STAR_99-c								kɔs		kɤʥɯv	koʥuv								qɯɕəŋqɑ				kiʑiʎi				
STAR_99-d				t͡ʃilːɒɡ																							
STAR_99-e													sow														
STAR_99-f																											
STAR_99-g															hotədʲiə												
STICK_184-a		kepː	ke̞pːi			kepːi																				cepːi	
STICK_184-c																											
STICK_184-d																											
STICK_184-e																											
STICK_184-f	pɑlkɑ			paːlʦɒ																						pulik	
STICK_184-g	mɑndo																										
STICK_184-h														tojɑ													
STICK_184-i										bedʲ	bedʲ												bodɯ				
STICK_184-j				bot																							
STICK_184-k													sur														
STICK_184-l								sŏɣ																			
STICK_184-m															huɑː												
STICK_184-n																			ʧiːrə								
STICK_184-o																											
STICK_184-p										bɑtɤɡ																	
STICK_184-q																											
STINKING_270-a		hɑisev	hɑise̞ʋɑ			hɑisovɑ																				hɑisɤvɑ	
STINKING_270-c																											
STINKING_270-d																											
STINKING_270-e																											
STINKING_270-f	ʧiɲev																										
STINKING_270-g									aps		isɑ			ypʃə̠ʃø													
STINKING_270-h				bydøʃ																							
STINKING_270-i										zɯnɑ													zɯm				
STINKING_270-j								pɯkɯm																			
STINKING_270-k																			tyːtəɲi								
STONE_27-a	cæv	kivi	kiʋi	køː		kivi		køχ						ky												ʧivi	
STONE_27-b									kiedːʲk																		
STONE_27-c										iz	iz												iz				
STONE_27-d													ɑːχwtɑs														
STONE_27-e															huɑlə				pyː								
STRAIGHT_185-a			suo̞rɑ			soːrɑ																					
STRAIGHT_185-b	vidʲe					oikiɑ								βik~βik													
STRAIGHT_185-c		sirke																								sirkɤɑ	
STRAIGHT_185-d																											
STRAIGHT_185-e									ɲolːke																		
STRAIGHT_185-f																											
STRAIGHT_185-g										veɕkɯt	veɕkɯd																
STRAIGHT_185-h																							ʃoɲer				
STRAIGHT_185-i														turɑ													
STRAIGHT_185-j				ɛɟɛnɛʃ																							
STRAIGHT_185-k													soχt														
STRAIGHT_185-l								tŏŋ																			
STRAIGHT_185-m																											
STRAIGHT_185-n																			tɑːtəŋ								
STRAIGHT_185-p															nəməɡəː												
STRETCH_241-a	venstʲems~venstʲems	venitːɑtɑ	ʋe̞nyt̪ːæː			venutːɑː			veːnːe																	venutːɤːmɑ	
STRETCH_241-b																											
STRETCH_241-c	tɑrɡɑms																										
STRETCH_241-d								ɲɯɳʧ		ɲuʒlɑvnɯ	ɲuʒɑdnɯ		ɲuːnsi~ɲuːnsi														
STRETCH_241-e				kiɲuːjt																			nujɑtɯnɯ				
STRETCH_241-f														ʧə̠mem													
STRETCH_241-g															bɑnyryɕɑ												
STRETCH_241-h																											
SUCK_70-a		imetɑ	ime̞æ			imˑiːæ		em	ɲumːe	ɲimɑvnɯ									ɲim							imemæ	
SUCK_70-b	potʲɑms																										
SUCK_70-c														ʃupʃɑm													
SUCK_70-d											ɲoɲɑvnɯ												nonɯnɯ				
SUCK_70-e				sopik																							
SUCK_70-f				siːv																							
SUCK_70-g													sipɣi														
SUMMER_283-a	kize		ke̞sæ			kezæ			kiesːʲ																	ʧesæ	
SUMMER_283-b		suvi						lŏŋ					tuw		təŋə				tɑŋə							suvi	
SUMMER_283-c														keŋeʃ													
SUMMER_283-d										ɡoʒum	ɡoʒɤm												ɡuʒem				
SUMMER_283-e				ɲaːr																							
SUN_186-a			ɑwriŋko̞																								
SUN_186-b		pæikːe				pæivyd̥			piejːv																	pæivʲ	
SUN_186-c	ʧi													keʧe													
SUN_186-d										ʃondi	ʃondi												ʃundɯ				
SUN_186-e				nɒp																							
SUN_186-f													χoːtɑl		kou												
SUN_186-g								syŋk																			
SUN_186-h																			ʨeːlə								
SWEET_91-a		mɑkus	mɑke̞ɑ			mɑkˑiːɑ																				mɑkːɑ~mɑkːɑ	
SWEET_91-b									ɲaːlʲkesʲ																		
SWEET_91-c	lɑmbɑmo																										
SWEET_91-e														tɑmle													
SWEET_91-f											jumov																
SWEET_91-g										ʨɤskɯt													ʨeskɯt				
SWEET_91-h				eːdɛʃ																							
SWEET_91-i													ɑtəŋ														
SWEET_91-j								ewəstə~ewəstə																			
SWEET_91-k																			ɲuːɲi								
SWEET_91-l																											
SWEET_91-m															sɑkɯrɲeəɡə												
SWEET_91-n															ɲeluɑɡə												
SWELL_187-a		pɑisutɑ	pɑisuɑ			pɑisuɑ			pɒːz																	pɑizɤtːumɑ	
SWELL_187-b			t̪urʋo̞tɑ																							turpoumɑ	
SWELL_187-c																											
SWELL_187-d																											
SWELL_187-e	tɑrɡoʑems																										
SWELL_187-f														løʧem													
SWELL_187-h											pɯktɯnɯ												pɯktɯnɯ				
SWELL_187-i											dundɯnɯ																
SWELL_187-j																							tɤrnɑnɯ				
SWELL_187-k													sili														
SWELL_187-l								pŏɣəl																			
SWELL_187-m																											
SWELL_187-n																			ʧɑŋku								
SWELL_187-o																											
SWELL_187-p																										pɑhkɤnɤmɑ	
SWELL_187-q										poʎdɯnɯ																	
SWELL_187-r																											
SWELL_187-s				dɒɡɒd																							
SWELL_187-t															hoɲydʲi												
SWIM_188-a	ujems	ujutɑ	uidɑ	uːsik		ujˑuːɑ		otʲ~otʲ	vuːjːe	ujɑvnɯ	ujɑvnɯ		uji	ijɑm					uː				ujɑnɯ			ujumɑ	
SWIM_188-b											vɑrtʲʨɯnɯ																
SWIM_188-c								ɲorəɣ																			
SWIM_188-d															hoðɯrsɯ												
TAIL_87-a			hæn̪t̪æ			hænd̥æ																					
TAIL_87-b		sɑpɑ																								sɑpɑ	
TAIL_87-c									siejːp						təjbu												
TAIL_87-d	pulo																										
TAIL_87-e										bɤʒ	bɤʒ			poʧ									bɯʒ				
TAIL_87-f				fɒrok																							
TAIL_87-g								ləɣ					leːɣ														
TAIL_87-h																			tɑlʨu								
TAIL_87-i																			meʨɑ								
TAKE_74-a		vɤtːɑ	ot̪ːɑː			otːɑː																				vɤtːɤmɑ	
TAKE_74-b									vaːlːʲte																		
TAKE_74-c	sɑjems																										
TAKE_74-d														nɑlɑm													
TAKE_74-e										boɕtnɯ	boɕtnɯ												bɑɕtɯnɯ				
TAKE_74-f				vɛs				wə					wiɣ														
TAKE_74-g																											
TAKE_74-h																			iː								
TAKE_74-i				foɡ											ŋohyləsɑ												
TEACH_264-a		ɤpːetːɑtɑ	o̞pe̞t̪ːɑː			ob̥etːɑː																					
TEACH_264-b																											
TEACH_264-c									maːtʲxe																		
TEACH_264-d	tonɑvtoms			tɒniːt										tunə̠ktem													
TEACH_264-e										velɤtnɯ	velɤdnɯ												vɑlekjɑnɯ				
TEACH_264-f				oktɒt															oːqəlolʧə								
TEACH_264-g																							dɯʃetɯnɯ				
TEACH_264-h													χɑɲɕti														
TEACH_264-i																											
TEACH_264-j						skoulɑd̥ɑ																				ʃkoulɑmɑ	
TEACH_264-k								ŏnəltə																			
TEACH_264-l																											
TEACH_264-m																											
TEACH_264-o															hɯlʧibtɯsɯ												
TEN_219-a	kemeɲ	kymːe	kymːe̞ne̞n			kymːen																				ʧymːe	
TEN_219-b									lɒːɡːʲ				low	lu													
TEN_219-c										dɑs	dɑs												dɑs				
TEN_219-d								jœŋ																			
TEN_219-e															biːʔ				køːt								
TEN_219-f				tiːz																							
TESTICLES_258-a			kiʋe̞kse̞t̪					kø̝ɣ																			
TESTICLES_258-b		munɑntit	munɑt̪			munɑd̥							muːŋi~muːŋi													munɑd̥	
TESTICLES_258-c																											
TESTICLES_258-d																											
TESTICLES_258-e																											
TESTICLES_258-f									kuːlː																		
TESTICLES_258-g	ɑl~ɑl																										
TESTICLES_258-h				hɛrɛ																							
TESTICLES_258-i														mosnɑky													
TESTICLES_258-j																							puz				
TESTICLES_258-k																											
TESTICLES_258-l																			oŋəl								
TESTICLES_258-m										koʎtːez	koʎk																
TESTICLES_258-n																											
TESTICLES_258-o						kelːid̥																				kelːid̥	
THAT_189-a	tonɑ	toː	t̪uo̞			toː		tom~tom	tudː		tɯ			tu~tu	tɑːniə				toː							to	
THAT_189-b	ɕe	seː								sijɑ	sijɤ												so			seː	
THAT_189-c																											
THAT_189-d				ɒz																							
THAT_189-e													tɑ														
THAT_189-f									ʃto																		
THAT_189-g																											
THAT_189-h														sɑðe													
THAT_189-i															təti												
THAT_189-j															tɑkəː												
THERE_190-a	toso		t̪uo̞lːɑ			toːɑl		tot	tamʲpe				tot	tuʃto	təni~təni				toːntə								
THERE_190-c	ɕese	seɑl								setɤn~setɤn																	
THERE_190-d											estɤn				əməɲi												
THERE_190-e				otː																			otɯn				
THERE_190-f																											
THEY_217-a	siɲ		he̞	øːk		høː		jəɣ	sɨjː				tɑːn										soːs				
THEY_217-b										nijɑ	nɑjɤ															næmæ	
THEY_217-c														nuno													
THEY_217-d															sɯtɯŋ												
THEY_217-e																											
THEY_217-f																			tɤpət								
THICK_77-a		pɑks	pɑksu			pɑksu																				pɑksu	
THICK_77-b																											
THICK_77-c																										jæmiæ	
THICK_77-d																											
THICK_77-e								kø̆l	keːsː	kɯz	kɯz			kyʒɣø													
THICK_77-f																											
THICK_77-g	eʧke																										
THICK_77-h																										kruːtoi	
THICK_77-i								eɳəki																			
THICK_77-j				vɒʃtɒɡ																							
THICK_77-k													osəŋ														
THICK_77-l																							zɤk				
THICK_77-m																			ɲɑŋtu								
THIGH_78-a		reis	re̞jsi			reiz																				reisi	
THIGH_78-b																											
THIGH_78-c																											
THIGH_78-d	pukʃo																										
THIGH_78-e														erðe													
THIGH_78-f				t͡somb																							
THIGH_78-g								pitʲ																			
THIGH_78-h																			pelu								
THIGH_78-i																											
THIGH_78-j											bek																
THIGH_78-k										ʎɑdʲbej	ʎɑdʲvej																
THIGH_78-l																							mɑkes				
THIGH_78-m																											
THIGH_78-n									ʧuarːpielːʲ																		
THIGH_78-o																											
THINK_192-a			ɑjɑt̪e̞lːɑ																								
THINK_192-b																											
THINK_192-c											mɤvnɑvnɯ												mɑlpɑnɯ				
THINK_192-d		mɤeltɑ																									
THINK_192-e									jurːʲte																		
THINK_192-f																											
THINK_192-g																											
THINK_192-h	ɑrʲɕems																										
THINK_192-i														ʃonem													
THINK_192-k				ɡondol																							
THINK_192-l								noməɣsətə~noməɣsətə					nomsi														
THINK_192-m																											
THINK_192-n																			tenirpi								
THINK_192-o						meinɑd̥ɑ																					
THINK_192-p																										duːmɑmɑ	
THINK_192-q	dumɑms																										
THINK_192-r										dumɑjtnɯ	dumɑjtnɯ																
THINK_192-s																											
THINK_192-t															sɯɲəruədʲi~sɯɲəruədʲi												
THIN_191-a		ɤhukːene	o̞ɦut̪																								
THIN_191-b						hoikːɑ~hoikːɑ																				hoik	
THIN_191-c																											
THIN_191-d																											
THIN_191-e																											
THIN_191-f								ætəm																			
THIN_191-g	ʧovɑ~ʧovɑ																										
THIN_191-h														βiʧkə̠ʒ													
THIN_191-i										vɤsɲit	vesɲɯd																
THIN_191-j				veːkoɲ																			vekʨi				
THIN_191-k													oɕːɑ														
THIN_191-l								woɣəʎ																			
THIN_191-m															dʲobtəɡəː				ʨoːptə								
THIN_191-n									sieŋʲkesʲ																		
THIN_191-o						heːno																					
THIN_191-p																										lɑih	
THIN_191-q																										nɤdrɑ	
THIN_191-r																											
THIN_191-s															ɲeu												
THIS_41-a	tʲe		t̪æmæ			tæmæ		tim~tim	tadː		tɑ~tɑ		ti	tə̠~tə̠									tɑ				
THIS_41-b										etɑ	etɑjɤ																
THIS_41-c		seː																								seː	
THIS_41-d																											
THIS_41-e																											
THIS_41-f																										to	
THIS_41-g															əmə												
THOU_10-a	ton		sinæ	tɛ		siæ			toːnː	te	te			tə̠j	tənə				tɑn				ton			siæ	
THOU_10-b								nø̆ŋ					nɑŋ														
THOU_10-c																											
THREE_193-a	kolmo	kolm	ko̞lme̞	haːrom		kolmed̥		koləm	koːlːm	kujim	kujim		χuːrəm	kum~kum									ku iɲ			kɤlmi	
THREE_193-b															nɑɡyr				nɑːkur								
THROW_194-a		heitːɑ	he̞it̪ːæː			heitːæː																				heitːemæ	
THROW_194-aa										ʃupkɑvnɯ																	
THROW_194-ab																											
THROW_194-ac																											
THROW_194-ad															bɑjbudʲɑ												
THROW_194-ae															sətəməsɑ												
THROW_194-b																											
THROW_194-c		visɑtːɑ																									
THROW_194-d																											
THROW_194-e																											
THROW_194-f																											
THROW_194-g																											
THROW_194-h																											
THROW_194-i																											
THROW_194-j																											
THROW_194-k	jortoms																										
THROW_194-l	kɑjɑms			hɒjiːt							kojnɯ												kujɑnɯ				
THROW_194-m														ʃuem													
THROW_194-n											ʨɤvtnɯ																
THROW_194-o				dob																							
THROW_194-p													reːpi														
THROW_194-q								ʎæk																			
THROW_194-r								tɑ̆ɣɑ																			
THROW_194-s																											
THROW_194-t																			ʨɑʧːə								
THROW_194-u														kə̠ʃkem													
THROW_194-v																							serpɑʎːɑnɯ				
THROW_194-w									ʧaʦːʲke																		
THROW_194-x																										porotːɤmɑ	
THROW_194-y																										virɑutːɤmɑ	
THROW_194-z										ʨɑpkɑvnɯ																	
TIE_89-a	sodoms	situtɑ	sit̪oɑ			sitˑoːɑ																				sitomɑ	
TIE_89-b																											
TIE_89-c														piðɑm													
TIE_89-d										kɤrtɑvnɯ	kɤrtɑvnɯ												kertːɯnɯ				
TIE_89-e																							dumɯnɯ				
TIE_89-f				køt																							
TIE_89-g													neːɣi														
TIE_89-h								jø̆r																			
TIE_89-i															sɑrədʲɑ				sɑːrə								
TIE_89-j								pŏɲ																			
TIE_89-k																											
TIE_89-l									koːrːe																		
TIRED_308-a		væsinut	ʋæsynyt̪			væsˑyːnd̥			viːsːma																	væsynːy	
TIRED_308-b																											
TIRED_308-c																											
TIRED_308-d																											
TIRED_308-e																											
TIRED_308-f																											
TIRED_308-g	ɕiʑeʑ																										
TIRED_308-h														jɑrnə̠ʃe													
TIRED_308-i														nojə̠ʃo													
TIRED_308-j										mɯʥɤm	muʥnɯ																
TIRED_308-k				faːrɒtː																							
TIRED_308-l				kimɛrylt																							
TIRED_308-m																							ʒɑdʲɯnɯ				
TIRED_308-n																											
TIRED_308-o																			nuːnəʨə								
TIRED_308-p								met																			
TIRED_308-r													loːŋɣitɑχti														
TIRED_308-s															bənuɡuə												
TONGUE_6-a	keʎ	keːl	kie̯li			keːli				kɯv	kɯv				ɕiədʲə				ɕeː				kɯl			ʧeːli	
TONGUE_6-b									ɲuxʧemʲ																		
TONGUE_6-c				ɲɛlv				ɲæləm					ɲeːlm	jə̠lme													
TONGUE_6-d																											
TOOTH_30-a		hɑmːɑs	hɑmːɑs			hɑmːɑz																				ɑmːɤz	
TOOTH_30-b	pej			foɡ				pøŋk		piɲ	piɲ		puŋk	pyj									piɲ			piː	
TOOTH_30-c															ʧimi				timə								
TOOTH_30-d									paːnːʲ																		
TOP_302-a		lɑtv	lɑt̪ʋɑ			lɑdvɑ			ladːʲv																	lɑdv	
TOP_302-b																											
TOP_302-c														βuj													
TOP_302-d		tipː																									
TOP_302-e																											
TOP_302-f																											
TOP_302-g	tʲokʃ~tʲokʃ																										
TOP_302-h	prʲɑ																										
TOP_302-i														ukʃer													
TOP_302-j														ʧoŋɡɑ													
TOP_302-k										jɯv	jɯv												jɯl				
TOP_302-l				t͡ʃuːt͡ʃ																							
TOP_302-m				tɛtøː																							
TOP_302-n			huipːu																								
TOP_302-o																			pɑːri								
TOP_302-p																			uːkə								
TOP_302-q								tø̆j					tɑʎəχ														
TOP_302-r													ɲol														
TOP_302-s								tʲæk																			
TOP_302-v															nuːm												
TOP_302-w															ŋojbuə												
TOUCH_238-a																											
TOUCH_238-b		puːtutːɑtɑ																								puːtːumɑ	
TOUCH_238-c																											
TOUCH_238-d	tokɑms~tokɑms													tykem~tykem													
TOUCH_238-e											ʎeɡɤdnɯ																
TOUCH_238-f				hozːaːɲuːl																							
TOUCH_238-h																							jɤtɯnɯ				
TOUCH_238-i																							isɑnɯ				
TOUCH_238-j													χɑni														
TOUCH_238-k													nowi														
TOUCH_238-l													χoːji														
TOUCH_238-m																											
TOUCH_238-n															mentiðiɕi				miːtːə								
TOUCH_238-o									lɨkxelːe																		
TOUCH_238-p						kertːæː																				kertːemæ	
TOUCH_238-q										pɑvkɑvnɯ~pɑvkɑvnɯ																	
TOUCH_238-r																											
TOUCH_238-t															səiməsɯ												
TRAP (CATCH)_222-a			ɑnsɑ																								
TRAP (CATCH)_222-b																											
TRAP (CATCH)_222-c		pyːnis																									
TRAP (CATCH)_222-d		lɣkːs																									
TRAP (CATCH)_222-e																											
TRAP (CATCH)_222-f	kiʎkʃ																										
TRAP (CATCH)_222-g																											
TRAP (CATCH)_222-h										nɑʎk	nɑʎk												nɑʎɯk				
TRAP (CATCH)_222-i				ʧɒpdɒ																							
TRAP (CATCH)_222-j														ʃɑrɣyr													
TRAP (CATCH)_222-k														løðø													
TRAP (CATCH)_222-l													ɑləɕ														
TRAP (CATCH)_222-m															dʲeŋɡuj				ʨɑŋku								
TRAP (CATCH)_222-n																			lɑtɑ								
TRAP (CATCH)_222-o									ruːvːʲt																		
TRAP (CATCH)_222-p								petəw																			
TRAP (CATCH)_222-q										kɑpkɑn																	
TRAP (CATCH)_222-r																											
TREE STUMP_257-a		kænt	kɑnt̪o̞			kɑnd̥o																				kɑnto	
TREE STUMP_257-b																											
TREE STUMP_257-c																											
TREE STUMP_257-d									ʧuːlːt																		
TREE STUMP_257-e	mukorʲ																										
TREE STUMP_257-g														omɑrtɑ													
TREE STUMP_257-h														pundə̠ʃ													
TREE STUMP_257-i																							lijɑl				
TREE STUMP_257-j													poŋnɑ														
TREE STUMP_257-k															səltə				sɑlʧə								
TREE STUMP_257-l								æŋkəl																			
TREE STUMP_257-m										mɯr																	
TREE_81-a		puː	puː	fɒ		puː				pu	pu			puʃeŋɡe	huɑː				poː				pispu			puː	
TREE_81-b									muːrː																		
TREE_81-c	ʧuvto																										
TREE_81-d								juɣ					jiw														
TURN_195-a			kæːnt̪yæ			kæːntyæ																					
TURN_195-b		pøːrtutɑ																									
TURN_195-c								kirɣəl																			
TURN_195-d																											
TURN_195-e																											
TURN_195-f	purdɑms			fordul																							
TURN_195-g														sɑβə̠rnem													
TURN_195-h										berɡɤtʨɯnɯ	berɡɑvnɯ												berɯktiɕkɯnɯ				
TURN_195-i											keʒnɯ																
TURN_195-j	veʎɑvtoms																										
TURN_195-k													peːrmti														
TURN_195-l																											
TURN_195-m																			piːkəl								
TURN_195-n									lievxe																		
TURN_195-o																											
TURN_195-p															bəbtuɑʔtəsɑ												
TURTLE_311-a		kilpkonː	kilpiko̞nːɑ																								
TURTLE_311-b																											
TURTLE_311-c	ʧerʲepɑχɑ																										
TURTLE_311-d				tɛknøːʒbeːkɒ																							
TURTLE_311-e														ʧerepɑχe													
TURTLE_311-f										ʧerepɑχɑ																	
TWIST (AROUND)_232-a		væːnɑtːɑ	ʋæːn̪t̪æː																								
TWIST (AROUND)_232-b			kie̞rt̪æː			keːrtæː																				ʧeːreskɤˑmɑ~ʧeːreskɤˑmɑ	
TWIST (AROUND)_232-c																											
TWIST (AROUND)_232-d																											
TWIST (AROUND)_232-e																											
TWIST (AROUND)_232-f									pɒːnːe																		
TWIST (AROUND)_232-g	purdɑms																										
TWIST (AROUND)_232-h	mendʲɑms																										
TWIST (AROUND)_232-i											puʧkɯnɯ																
TWIST (AROUND)_232-j											ɡɑrtnɯ																
TWIST (AROUND)_232-k				tɛkɛr																							
TWIST (AROUND)_232-l				t͡ʃɒvɒr																							
TWIST (AROUND)_232-m										berɡɤtnɯ~berɡɤtnɯ				pytə̠rem									berɡɑtɯnɯ				
TWIST (AROUND)_232-n													peːrmti~peːrmti~peːrmti	sɑβə̠rem													
TWIST (AROUND)_232-o																											
TWIST (AROUND)_232-p																			koʎə								
